"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","Summer_Winter",0.46650519237246,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;",0.748774041706548,0.748774041706548,NA,"NaN",NA,"NaN",NA
"2","Summer_Spring",0.47211592572965,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;",0.262331675408357,0.635009462373665,NA,"NaN",NA,"NaN",NA
"3","Winter_Spring",0.483625019027556,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;",0.423339641582443,0.635009462373665,NA,"NaN",NA,"NaN",NA
