"","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37"
"CE4",1368.72111992507,1256.55419223086,1325.23047510687,1375.49282713454,1395.72890565348,1378.83835915697,1523.10650855834,1470.03080160849,1419.34250283111,1358.61477009013,1296.51327663427,1352.2621254991,1382.40350216025,1414.28017171778,1248.03258172142,1352.2951774316,1341.76409234179
"GH13",7107.04450022597,6766.42223843301,7236.38482739694,7342.18569416157,7143.34360330336,6941.19764893792,7025.32877072535,7017.26406438608,6910.15788849521,7058.57018044282,7165.39039518983,7187.75369626012,6937.10460649262,7173.43969176946,7146.89678430673,6607.30938129281,6030.3435244493
"GT2",4755.68902379054,4914.46045436779,4504.91956941382,4732.27622729091,4663.6649712505,4814.44393738974,4733.34638044285,4738.78625675504,4812.2365718586,4062.87217688316,4888.67898757202,4813.57266754438,4675.08481165347,4619.17728699135,4922.08768199315,5038.93831375096,4953.55674342533
"PL1",250.375814620439,286.434251592237,346.698437252898,269.704475908732,257.390182381762,272.633948287855,256.291960574721,258.758989816908,236.738910925712,344.193939208067,268.015527602263,238.533547518242,297.386613508197,267.714788129665,268.709055860428,277.985274355329,280.167093495266
