"","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37"
"CE1",273.788616510977,274.114863982713,285.279589888263,286.155012927714,286.825426582991,258.500483968752,301.757746715357,287.410652309128,316.044769030001,283.705591050881,263.255843867642,276.260301617116,255.157695270902,306.024959673721,268.005986753685,256.338353166512,286.41110657567
"CE10",278.180947257143,246.513020040009,243.090354763943,289.490152938526,314.390467579279,282.282528493877,351.321821055077,334.872961864763,333.362290620686,293.807867290082,270.593985856984,308.975337334933,269.153686994622,310.305029039787,211.911710456402,309.21532287799,279.067232048088
"CE11",48.3156382078195,72.3358668843271,60.2703358918866,62.0336042011127,68.5401019367148,62.0401161525004,52.4796081244099,56.6910919692316,76.8465020586646,53.0369502558028,66.9605456527451,52.7075575453709,48.9859710330213,65.2710578325069,64.8200526101937,72.4184585178936,99.1423061223472
"CE12",82.722229052782,86.61268271676,84.3784702486413,77.3752482508503,72.2651074767537,78.5841471265005,69.9728108325465,52.735899506262,60.6113255673974,90.9204861528047,76.1332231394225,77.2438343337331,93.6654830741286,86.6714046628371,81.0250657627421,55.1759683945856,51.4071216930689
"CE13",2.19616537308271,0,1.00450559819811,0.667028002162502,0.74500110800777,1.03400193587501,0,1.31839748765655,1.08234509941781,0,0.917267748667741,1.81750198432313,2.15322949595698,1.07001734151651,0,0,0
"CE14",22.693708855188,15.2286035545952,13.0585727765754,17.3427280562251,25.3300376722642,24.8160464610002,16.0354358157919,23.7311547778179,22.729247087774,19.3626961251343,17.4280872246871,18.1750198432313,24.223831829516,21.4003468303301,18.6980920990943,27.5879841972928,29.3754981103251
"CE15",10.2487717410526,4.75893861081099,9.040550383783,8.67136402811253,11.1750166201165,9.30601742287506,5.83106756937888,10.5471799012524,8.65876079534249,14.3115580055341,6.42087424067418,5.4525059529694,5.92138111388169,9.63015607364857,11.2188552594566,9.19599473243093,14.6877490551626
"CE2",49.7797484565413,35.2161457200013,30.1351679459433,31.3503161016376,36.5050542923807,38.2580716273753,34.9864054162733,21.0943598025048,27.0586274854453,36.1998231904685,38.5252454440451,58.1600634983403,48.9859710330213,33.1705375870117,24.9307894654591,19.5414888064157,14.6877490551626
"CE3",13.9090473628571,10.4696649437842,11.0495615801792,14.0075880454126,16.3900243761709,9.30601742287506,14.5776689234472,13.1839748765655,18.3998666901028,12.6278452990007,19.2626227220226,9.99626091377723,10.2278401057956,14.9802427812311,11.2188552594566,12.6444927570925,25.7035608465345
"CE4",398.237987652331,323.607825535147,293.315634673848,344.186449115851,318.860474227325,380.512712402003,409.632496748866,353.330526691955,344.185741614864,316.537988828283,314.622837793035,407.120444488382,440.873739297191,299.604855624622,340.305276203517,303.467826170221,405.749067648865
"CE6",6.58849611924812,13.3250281102708,14.0630783747735,8.00433602595003,11.9200177281243,9.30601742287506,2.91553378468944,13.1839748765655,9.7411058947603,9.26041988593381,10.0899452353451,8.1787589294541,9.15122535781716,13.9102254397146,8.72577631291069,10.3454940739848,12.8517804232672
"CE7",23.4257639795489,30.4572071091903,34.1531903387358,24.0130080778501,33.5250498603496,32.0540600121252,40.8174729856521,38.2335271420399,27.0586274854453,34.5161104839351,23.8489614653613,16.3575178589082,23.6855244555268,41.7306763191438,34.9031052516428,29.8869828804005,45.899215797383
"CE8",54.9041343270677,79.9501686616246,73.3289086684621,69.3709122249003,68.5401019367148,77.5501451906255,71.4305777248913,48.7807070432923,58.4466353685618,61.4555137884699,60.5396714120709,75.42633234941,88.2824093342361,82.3913352967711,69.8062105032855,63.2224637854627,77.1106825396034
"CE9",115.664709649023,80.9019563837868,80.3604478558488,94.0509483049128,92.3801373929634,101.332189715751,144.318922342127,130.521351277998,103.90512954411,96.8134806256717,87.1404361234354,116.320126996681,103.355015805935,93.0915087119361,76.0389078696503,111.501436130725,117.5019924413
"GH1",143.482804374737,93.2751967718954,126.567705372962,89.3817522897753,105.045156229096,110.638207138626,104.95921624882,148.97891610519,119.057960935959,111.125038631206,77.0504908880902,162.66642759692,118.965929651623,129.472098323497,89.7508420756528,103.454940739848,115.666023809405
