,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
GH79,15.0,10.0,16.0,31.0,16.0,8.0,6.0,21.0,8.0
GH8,13.0,18.0,20.0,27.0,9.0,15.0,5.0,4.0,3.0
GH81,4.0,2.0,3.0,9.0,9.0,2.0,0.0,2.0,2.0
GH84,21.0,25.0,21.0,34.0,19.0,15.0,20.0,29.0,26.0
GH85,19.0,15.0,16.0,28.0,13.0,10.0,3.0,15.0,11.0
GH87,2.0,2.0,2.0,7.0,5.0,2.0,0.0,4.0,1.0
GH88,115.0,69.0,82.0,142.0,68.0,59.0,93.0,84.0,56.0
GH89,40.0,38.0,31.0,48.0,31.0,20.0,25.0,34.0,29.0
GH9,26.0,42.0,37.0,61.0,25.0,30.0,18.0,11.0,10.0
GH91,6.0,2.0,2.0,6.0,5.0,3.0,1.0,3.0,0.0
GH92,179.0,144.0,108.0,212.0,104.0,123.0,127.0,136.0,105.0
GH93,10.0,7.0,11.0,15.0,6.0,6.0,6.0,4.0,1.0
GH94,66.0,61.0,75.0,120.0,52.0,40.0,13.0,35.0,18.0
GH95,116.0,107.0,94.0,157.0,71.0,67.0,69.0,76.0,30.0
GH97,158.0,154.0,100.0,192.0,116.0,129.0,72.0,118.0,77.0
GH98,5.0,8.0,5.0,7.0,5.0,2.0,4.0,2.0,0.0
GH99,6.0,8.0,3.0,7.0,2.0,3.0,4.0,4.0,1.0
GT1,8.0,4.0,6.0,15.0,4.0,5.0,4.0,9.0,3.0
GT10,13.0,15.0,10.0,24.0,9.0,7.0,7.0,16.0,5.0
GT101,9.0,29.0,101.0,51.0,66.0,57.0,3.0,7.0,9.0
GT102,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
GT103,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GT104,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
GT107,2.0,4.0,4.0,4.0,2.0,5.0,0.0,5.0,3.0
GT11,37.0,54.0,66.0,107.0,37.0,37.0,11.0,27.0,17.0
GT12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GT14,29.0,28.0,27.0,37.0,18.0,19.0,13.0,22.0,12.0
GT17,3.0,7.0,7.0,10.0,5.0,7.0,1.0,2.0,1.0
GT19,65.0,71.0,54.0,88.0,59.0,49.0,24.0,68.0,56.0
GT2,2070.0,2299.0,2509.0,4008.0,1793.0,1646.0,865.0,1740.0,1213.0
GT20,1.0,2.0,5.0,2.0,5.0,3.0,3.0,1.0,1.0
GT21,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
GT22,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
GT23,8.0,10.0,10.0,18.0,7.0,5.0,4.0,4.0,6.0
GT24,1.0,5.0,9.0,0.0,11.0,3.0,0.0,0.0,1.0
GT25,4.0,6.0,6.0,7.0,10.0,3.0,3.0,8.0,2.0
GT26,102.0,115.0,132.0,228.0,101.0,101.0,50.0,106.0,63.0
GT27,19.0,25.0,21.0,25.0,10.0,12.0,14.0,19.0,20.0
GT28,174.0,194.0,234.0,393.0,179.0,126.0,61.0,138.0,126.0
GT29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
GT3,46.0,39.0,28.0,53.0,36.0,27.0,19.0,46.0,26.0
GT30,60.0,65.0,53.0,83.0,60.0,58.0,24.0,64.0,52.0
GT31,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
GT32,93.0,113.0,112.0,152.0,86.0,88.0,37.0,87.0,58.0
GT33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT35,150.0,139.0,173.0,279.0,114.0,114.0,45.0,122.0,73.0
GT39,33.0,37.0,45.0,57.0,20.0,20.0,8.0,25.0,18.0
GT4,1117.0,1176.0,1237.0,2083.0,975.0,919.0,460.0,1024.0,676.0
GT41,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0
GT44,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GT46,1.0,4.0,6.0,5.0,6.0,5.0,1.0,2.0,1.0
GT47,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GT5,136.0,127.0,157.0,263.0,107.0,97.0,40.0,122.0,80.0
GT50,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
GT51,259.0,279.0,285.0,498.0,232.0,203.0,110.0,228.0,184.0
GT56,3.0,3.0,6.0,10.0,5.0,4.0,4.0,3.0,4.0
GT6,3.0,2.0,0.0,2.0,2.0,3.0,1.0,5.0,6.0
GT61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT66,0.0,1.0,1.0,0.0,4.0,2.0,0.0,3.0,1.0
GT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GT73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT74,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
