,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33
GH95,117.0,84.0,95.0,135.0,115.0,84.0,59.0,60.0,71.0
GH97,131.0,127.0,111.0,180.0,170.0,121.0,84.0,81.0,137.0
GH98,7.0,6.0,4.0,8.0,5.0,4.0,1.0,3.0,2.0
GH99,2.0,1.0,8.0,8.0,4.0,5.0,2.0,5.0,3.0
GT1,14.0,7.0,7.0,10.0,11.0,6.0,12.0,12.0,9.0
GT10,15.0,19.0,10.0,16.0,8.0,14.0,8.0,13.0,5.0
GT101,27.0,82.0,82.0,40.0,47.0,66.0,46.0,8.0,17.0
GT102,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
GT103,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
GT104,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
GT107,2.0,5.0,2.0,8.0,5.0,4.0,4.0,3.0,6.0
GT11,78.0,72.0,44.0,58.0,55.0,49.0,16.0,16.0,23.0
GT12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
GT14,33.0,19.0,23.0,30.0,21.0,28.0,15.0,20.0,24.0
GT17,7.0,8.0,6.0,6.0,5.0,4.0,2.0,4.0,2.0
GT19,68.0,65.0,61.0,95.0,87.0,53.0,37.0,41.0,71.0
GT2,2955.0,2261.0,1800.0,3000.0,2662.0,1966.0,1354.0,1477.0,1891.0
GT20,6.0,8.0,7.0,2.0,7.0,2.0,4.0,3.0,2.0
GT21,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
GT22,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
GT23,11.0,6.0,11.0,8.0,10.0,11.0,4.0,5.0,7.0
GT24,7.0,9.0,11.0,1.0,10.0,1.0,2.0,1.0,1.0
GT25,8.0,10.0,6.0,11.0,9.0,6.0,6.0,4.0,5.0
GT26,154.0,123.0,91.0,175.0,136.0,115.0,90.0,92.0,104.0
GT27,23.0,19.0,11.0,23.0,22.0,18.0,10.0,10.0,24.0
GT28,248.0,183.0,156.0,272.0,214.0,190.0,137.0,133.0,161.0
GT29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GT3,41.0,36.0,32.0,48.0,48.0,31.0,30.0,28.0,44.0
GT30,64.0,80.0,51.0,83.0,85.0,59.0,34.0,44.0,69.0
GT31,1.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0
GT32,132.0,87.0,68.0,150.0,119.0,87.0,62.0,63.0,91.0
GT33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT35,197.0,148.0,116.0,203.0,164.0,139.0,98.0,97.0,120.0
GT39,33.0,22.0,28.0,33.0,16.0,24.0,26.0,21.0,22.0
GT4,1543.0,1190.0,950.0,1515.0,1476.0,1075.0,760.0,804.0,1079.0
GT41,0.0,6.0,0.0,1.0,6.0,9.0,0.0,0.0,3.0
GT46,8.0,5.0,2.0,6.0,3.0,2.0,1.0,3.0,1.0
GT5,189.0,141.0,103.0,194.0,165.0,132.0,97.0,85.0,121.0
GT50,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
GT51,343.0,263.0,237.0,387.0,313.0,245.0,193.0,189.0,237.0
GT52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GT56,5.0,2.0,4.0,12.0,5.0,3.0,1.0,4.0,3.0
