,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,35.664333,29.166666,28.048780,33.898308,24.137930,34.905659,40.909092,30.487806,31.481480,29.126215,26.530611,34.000000,37.714283,35.000000,37.681160,33.333336,26.966291,35.185184
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,34.965034,42.708336,53.658539,32.203392,52.586208,40.566040,30.681818,47.560974,45.370369,53.398060,52.040817,39.000000,38.857143,36.250000,49.275364,55.555557,53.932583,48.148148
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,5.594406,0,2.439024,4.237288,4.310345,0,2.272727,2.439024,3.703704,2.912621,2.040816,0,2.285714,7.500000,4.347826,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0.699301,1.041667,0,0,0,0,0,0,0,0.970874,1.020408,0,0,0,0,1.587302,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;,0.699301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;,0.699301,1.041667,0,0.847458,0,0,0,1.219512,0,0,1.020408,1.000000,0.571429,0,0,0,1.123595,0
Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;,0.699301,1.041667,0,0.847458,0,0,0,0,0.925926,0,1.020408,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0.699301,1.041667,1.219512,0.847458,0.862069,0.943396,0,0,0,0,1.020408,0,0,0,0,0,0,0
Bacteria;Firmicutes;Negativicutes;NA;NA;NA;NA;,0.699301,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,4.195804,6.250000,2.439024,6.779661,5.172414,7.547170,7.954545,8.536586,4.629630,2.912621,5.102041,6.000000,5.714286,3.750000,2.898551,4.761905,7.865169,5.555556
unclassified,15.384616,15.625000,10.975610,18.644068,9.482758,15.094340,15.909091,9.756097,12.962963,9.708738,9.183674,18.000001,13.142857,16.249999,5.797102,3.174603,8.988764,5.555556
Bacteria;Actinobacteria;Coriobacteriia;NA;NA;NA;NA;,0,2.083333,0,0,0.862069,0.943396,1.136364,0,0,0.970874,1.020408,0,0,0,0,0,1.123595,0
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0,1.219512,0.847458,1.724138,0,1.136364,0,0,0,0,1.000000,0,1.250000,0,0,0,3.703704
Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;,0,0,0,0.847458,0.862069,0,0,0,0,0,0,0,0.571429,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0.925926,0,0,0,0.571429,0,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,0,0,0,0
Bacteria;Firmicutes;Tissierellia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.587302,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851852
