"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"13","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;NA;NA;NA;","0.052127","0.050865","0.039317","0.042658","0.034321","0.046095","0.0365","0.043803","0.043334","0.040339","0.038444","0.062177","0.057711","0.040295","0.03801","0.006935","0.039615","0.026174"
"14","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;NA;NA;NA;","0.042249","0.03552","0.04222","0.046712","0.032051","0.03522","0.152342","0.063771","0.065094","0.037147","0.037633","0.038322","0.057537","0.046223","0.037495","0.02391","0.065965","0.038937"
"15","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","0.041804","0.054694","0.042562","0.059289","0.054911","0.023835","0.033423","0.052331","0.058843","0.045768","0.048426","0.046536","0.031547","0.057122","0.024606","0.027913","0.092071","0.061211"
"16","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;NA;NA;NA;","0.038444","0.041761","0.040674","0.041523","0.032878","0.033","0.026478","0.043874","0.026269","0.032529","0.038881","0.043509","0.047516","0.035788","0.038032","0.008475","0.025351","0.023007"
"17","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;","0.036819","0.044503","0.036537","0.048772","0.052399","0.02174","0.024254","0.054165","0.041732","0.044889","0.045017","0.034016","0.027532","0.047789","0.023482","0.039429","0.086614","0.053071"
"18","Bacteria;Firmicutes;Negativicutes;Veillonellales;NA;NA;NA;","0.036708","0.036526","0.030542","0.02671","0.039074","0.049054","0.018257","0.020831","0.01605","0.018828","0.018649","0.030083","0.030189","0.026322","0.041671","0.007116","0.015086","0.014267"
"19","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;","0.030531","0.027694","0.055825","0.043043","0.030228","0.024701","0.237551","0.206987","0.225147","0.038119","0.062317","0.019104","0.036712","0.038235","0.025384","0.291862","0.147139","0.127959"
"20","Bacteria;Firmicutes;Tissierellia;Tissierellales;NA;NA;NA;","0.029123","0.025934","0.028256","0.026691","0.021188","0.027751","0.018908","0.019478","0.019556","0.023535","0.02061","0.028386","0.029494","0.02383","0.028012","0.006475","0.016101","0.016488"
"21","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;NA;NA;NA;","0.025825","0.024488","0.0221","0.042884","0.03072","0.026998","0.046684","0.025293","0.031385","0.015912","0.023432","0.023349","0.028681","0.032643","0.031871","0.004894","0.015613","0.029058"
"22","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;NA;NA;NA;","0.022839","0.011288","0.041055","0.011652","0.035834","0.107608","0.04879","0.010445","0.014001","0.007965","0.018425","0.010754","0.019938","0.010987","0.058403","0.007572","0.010243","0.067056"
