,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;,0.176434,0.254983,0.045434,0.366074,0.074493,0.109771,0.021235,0.090830,0.028318,0.295135,0.360618,0.322829,0.044988,0.048627,0.039322,0.101688,0.049928,0.033626
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;,0.175851,0.148813,0.158205,0.142365,0.099441,0.182387,0.019515,0.019435,0.022461,1.272723,0.141922,0.119500,0.564929,0.109971,0.193910,0.004944,0.010705,0.014844
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;,0.140472,0.094949,0.148279,0.245912,0.161736,0.120216,0.160275,0.172698,0.161903,0.248442,0.092604,0.171016,0.130391,0.138655,0.074454,0.020935,0.134901,0.064475
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;NA;,0.136368,0.132208,0.108751,0.066453,0.019565,0.044157,0.008559,0.005748,0.004814,0.070432,0.110334,0.065625,0.109704,0.070370,0.163682,0.000831,0.003777,0.002978
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;NA;,0.115456,0.097189,0.099096,0.094603,0.099683,0.115438,0.052187,0.063071,0.049744,0.136728,0.093940,0.097625,0.139538,0.152360,0.117015,0.060055,0.055716,0.137356
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;,0.114876,0.044338,0.097625,0.080474,0.080045,0.118760,0.054081,0.046145,0.040586,0.097091,0.056184,0.111373,0.110175,0.135844,0.098980,0.009722,0.045419,0.025808
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;,0.106856,0.036788,0.034023,0.040040,0.046046,0.175433,0.102401,0.020066,0.037890,0.025593,0.077109,0.140632,0.125531,0.081282,0.025025,0.004350,0.030214,0.023660
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;NA;,0.105976,0.024638,0.028799,0.035849,0.041043,0.108367,0.053265,0.020667,0.026081,0.029125,0.045884,0.116843,0.077957,0.043801,0.025025,0.003419,0.028367,0.018548
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Intestinimonas;NA;,0.085143,0.039564,0.049498,0.052056,0.055186,0.077177,0.101323,0.123027,0.062406,0.071144,0.056034,0.102650,0.096102,0.078451,0.031405,0.015697,0.102898,0.062297
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,0.084664,0.131606,0.060782,0.096485,0.147001,0.042825,0.067595,0.119615,0.153312,0.171913,0.145747,0.069049,0.064527,0.294182,0.054563,0.038873,0.203047,0.157363
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;NA;,0.083502,0.074167,0.085005,0.057839,0.080963,0.041041,0.017077,0.016017,0.023789,0.065114,0.066998,0.052115,0.084035,0.072293,0.107508,0.022079,0.009253,0.009798
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;NA;,0.081561,0.097466,0.095654,0.068090,0.079329,0.072979,0.113110,0.220769,0.067283,0.089970,0.073435,0.075037,0.088465,0.135907,0.131959,2.669286,0.151950,0.268824
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Schaedlerella;NA;,0.080156,0.043071,0.039689,0.039947,0.051184,0.055424,0.018551,0.015311,0.019357,0.036830,0.045825,0.093963,0.056262,0.054855,0.049159,0.004894,0.009382,0.011153
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;NA;,0.077274,0.070697,0.095076,0.176023,0.039265,0.005849,0.002831,0.133656,0.021814,0.059775,0.048786,0.080703,0.034479,0.075003,0.028634,0.003347,0.420934,0.044681
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;NA;,0.074140,0.129039,0.079177,0.106652,0.056372,0.093511,0.037235,0.030246,0.034338,0.063510,0.101757,0.110260,0.119439,0.097229,0.080279,0.010969,0.020154,0.020284
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;,0.065836,0.039158,0.066430,0.030566,0.121880,0.028095,0.010371,0.019465,0.033078,0.115965,0.076249,0.041915,0.036086,0.027888,0.016963,0.038789,0.036188,0.062098
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;,0.065822,0.053914,0.041252,0.064842,0.075732,0.021226,0.060022,0.134824,0.066621,0.105232,0.084766,0.041899,0.037709,0.106113,0.031139,0.018638,0.147508,0.066476
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;,0.060892,0.074232,0.053522,0.135277,0.085765,0.028168,0.039684,0.082672,0.060744,0.093027,0.107285,0.045600,0.053068,0.097895,0.039437,0.028070,0.358283,0.152482
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;,0.057122,0.070364,0.042487,0.052605,0.060726,0.026785,0.027934,0.056310,0.056161,0.062043,0.059387,0.047589,0.027565,0.088696,0.026870,0.070755,0.093391,0.062464
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;,0.055138,0.069935,0.151799,0.424209,0.245275,0.042764,0.156625,0.218165,0.039372,0.186226,0.070924,0.059833,0.058654,0.117108,0.100559,0.121729,0.018732,0.102948
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA;,0.055013,0.022896,0.025388,0.018700,0.031594,0.131173,0.012996,0.014396,0.011729,0.036171,0.035675,0.045745,0.044394,0.031730,0.047544,0.003766,0.015533,0.008502
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;,0.053213,0.154745,0.053242,0.046748,0.185858,0.131195,0.423988,0.180658,0.206562,0.078954,0.445999,0.139416,0.131784,0.085810,0.046136,0.369680,0.710123,0.167427
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;,0.052407,0.052154,0.048368,0.050134,0.046495,0.052163,0.026349,0.030101,0.032848,0.062241,0.038388,0.048995,0.057268,0.043898,0.056351,0.009972,0.020045,0.020933
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;NA;,0.051292,0.038013,0.032552,0.040594,0.037945,0.030423,0.019085,0.023318,0.017456,0.025397,0.044175,0.036459,0.092635,0.054675,0.029144,0.044136,0.019724,0.013478
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;,0.049352,0.031814,0.041454,0.045902,0.032848,0.034355,0.028327,0.034329,0.045571,0.285130,0.043902,0.069121,0.048628,0.041108,0.026674,0.148970,0.071698,0.080911
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA;,0.043779,0.065042,0.037101,0.043851,0.063450,0.019444,0.052209,0.061629,0.068334,0.051321,0.050713,0.047562,0.032825,0.068741,0.021879,0.035582,0.088663,0.085733
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;NA;,0.041862,0.034784,0.043275,0.037628,0.036271,0.055351,0.011882,0.012288,0.016558,0.040536,0.031123,0.033565,0.044902,0.034750,0.055973,0.004981,0.007946,0.008544
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;NA;,0.041131,0.088608,0.195863,0.070644,0.070368,0.010423,0.002426,0.037208,0.006054,0.205622,0.063701,0.103526,0.015597,0.326188,0.257738,0.003181,0.297804,0.015493
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;NA;,0.040356,0.041151,0.042299,0.036165,0.024916,0.045781,0.010691,0.009881,0.010948,0.031683,0.041178,0.032054,0.045191,0.029757,0.051666,0.002672,0.006639,0.007507
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;NA;,0.039478,0.027471,0.049572,0.062430,0.077034,0.018124,0.047364,0.595286,0.153614,0.053495,0.084004,0.058701,0.045025,0.028630,0.018701,0.354258,0.400079,0.383368
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;NA;,0.039374,0.040842,0.036865,0.038044,0.027157,0.059862,0.011357,0.009794,0.010851,0.054002,0.029312,0.030902,0.049139,0.027449,0.041620,0.003041,0.005756,0.006365
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;NA;,0.037053,0.082537,0.045075,0.074325,0.092761,0.022251,0.048783,0.081526,0.064720,0.105211,0.063156,0.035635,0.032534,0.115592,0.031802,0.023426,0.129756,0.037519
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;,0.036192,0.027676,0.023405,0.042673,0.044618,0.023840,0.017717,0.036388,0.019217,0.038145,0.028826,0.031753,0.044273,0.043278,0.028135,0.007328,0.015507,0.015647
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Frisingicoccus;NA;,0.035627,0.049503,0.074409,0.062423,0.056699,0.012071,0.048283,0.102612,0.014477,0.106300,0.081109,0.017419,0.038024,0.074551,0.091741,0.021041,0.010846,0.021824
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;NA;,0.034565,0.024418,0.029697,0.040140,0.051045,0.033740,0.026625,0.022122,0.030530,0.026497,0.028788,0.039167,0.041846,0.031122,0.025926,0.005841,0.017061,0.020336
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;NA;,0.033819,0.069193,0.035424,0.037267,0.021791,0.071767,0.014467,0.014060,0.012157,0.036851,0.041364,0.035289,0.049636,0.028789,0.040260,0.010032,0.009729,0.008691
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;,0.033028,0.045753,0.028261,0.027703,0.019841,0.030140,0.014055,0.017009,0.016335,0.022116,0.028795,0.037561,0.035842,0.035939,0.029503,0.005956,0.010766,0.010971
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;NA;,0.031299,0.028768,0.029916,0.038037,0.029708,0.021599,0.017331,0.019653,0.018550,0.042945,0.033267,0.025922,0.034212,0.036182,0.030804,0.004469,0.006745,0.007392
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;NA;,0.031074,0.031748,0.028821,0.026634,0.023253,0.025530,0.014210,0.019909,0.014203,0.039162,0.029494,0.029608,0.047583,0.031399,0.034475,0.010441,0.013040,0.023035
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;,0.029420,0.031232,0.030621,0.035694,0.026443,0.038127,0.018386,0.022695,0.026098,0.029554,0.028239,0.031955,0.037431,0.026489,0.032689,0.006244,0.026700,0.022103
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;NA;,0.029019,0.033019,0.028164,0.035031,0.017207,0.019934,0.011151,0.011428,0.010335,0.033077,0.016345,0.027484,0.029623,0.023721,0.024896,0.003781,0.006620,0.005573
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;NA;,0.027742,0.015099,0.025629,0.025864,0.022046,0.018922,0.016408,0.020424,0.018120,0.041115,0.023393,0.030953,0.031409,0.022493,0.025663,0.004600,0.019114,0.011055
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;NA;,0.026841,0.033349,0.031317,0.024236,0.018399,0.058809,0.005901,0.005846,0.006368,0.015139,0.022414,0.022892,0.043450,0.024797,0.042475,0.001522,0.003360,0.004284
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;NA;,0.026193,0.006081,0.006827,0.005163,0.010216,0.004213,0.005816,0.008722,0.014232,0.005579,0.004423,0.006484,0.004403,0.005001,0.009966,0.011438,0.010413,0.042352
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA;,0.026182,0.135576,0.084318,0.037405,0.052834,0.095550,0.029456,0.042013,0.543486,0.017272,0.029753,0.043918,0.021981,0.031105,0.038968,0.021941,0.911394,0.017469
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;NA;,0.025946,0.038270,0.025668,0.021656,0.014639,0.025338,0.006691,0.004894,0.005838,0.022846,0.018058,0.019916,0.032948,0.016080,0.023584,0.002044,0.003790,0.004997
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;NA;,0.024170,0.007870,0.012287,0.013092,0.012316,0.038167,0.017621,0.012864,0.010988,0.010674,0.025201,0.017331,0.060568,0.013060,0.008437,0.001994,0.016923,0.007626
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;,0.024082,0.020534,0.024153,0.027428,0.017974,0.018990,0.017857,0.030816,0.017906,0.024468,0.021589,0.024745,0.031938,0.019779,0.022866,0.011138,0.013249,0.029230
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;NA;,0.023983,0.022262,0.016473,0.016063,0.019895,0.027401,0.010187,0.010244,0.010435,0.016734,0.016527,0.018884,0.022521,0.013605,0.021066,0.004185,0.008466,0.007717
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;NA;,0.023793,0.035845,0.019906,0.023431,0.033049,0.011963,0.020540,0.033134,0.035815,0.032281,0.030571,0.025263,0.015915,0.043148,0.013938,0.019954,0.041327,0.036967
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;NA;,0.023761,0.027946,0.026049,0.027565,0.020423,0.020893,0.014555,0.021620,0.014172,0.021060,0.026246,0.026385,0.031723,0.021806,0.026703,0.005010,0.013454,0.012497
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;NA;,0.023552,0.032694,0.030008,0.043191,0.027585,0.018699,0.014570,0.028421,0.016532,0.026223,0.030340,0.027129,0.033824,0.029388,0.028819,0.336976,0.014318,0.006809
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;NA;,0.021442,0.020277,0.014008,0.012717,0.009060,0.012634,0.010081,0.010830,0.009808,0.009245,0.010352,0.021011,0.017351,0.013844,0.016107,0.001950,0.013284,0.007036
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;NA;,0.021430,0.014156,0.021570,0.023595,0.018619,0.015292,0.028026,0.038903,0.021577,0.017569,0.023932,0.011142,0.017081,0.022933,0.020007,0.019413,0.037222,0.013450
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;NA;,0.020777,0.041594,0.015597,0.016821,0.022917,0.009978,0.010574,0.018658,0.021381,0.021046,0.026561,0.019263,0.014646,0.030779,0.007574,0.011694,0.030086,0.018314
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Faecalicatena;NA;,0.020562,0.013328,0.017524,0.020024,0.020156,0.015375,0.009574,0.009520,0.009691,0.014737,0.014866,0.016955,0.020039,0.018816,0.018186,0.002966,0.004754,0.004714
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Extibacter;NA;,0.020250,0.010419,0.009086,0.010377,0.008523,0.007896,0.003849,0.002792,0.003708,0.014692,0.020670,0.011347,0.017345,0.016516,0.023834,0.034835,0.002329,0.003038
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;NA;,0.020064,0.015597,0.004374,0.050868,0.058117,0.000209,0.000379,0.001680,0.014867,0.022481,0.000538,0.000466,0.008637,0.029987,0.000697,0.000244,0.005968,0.033744
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;NA;,0.019157,0.035347,0.002207,0.034266,0.003396,0.004970,0.006140,0.038354,0.002728,0.003235,0.005024,0.017217,0.029409,0.003594,0.002317,0.000238,0.020517,0.004483
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;NA;,0.019139,0.006817,0.011547,0.011218,0.010163,0.015574,0.010529,0.010469,0.013171,0.012225,0.009394,0.017316,0.015589,0.010099,0.008547,0.003200,0.013169,0.010266
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia;NA;,0.018819,0.019926,0.016245,0.017814,0.013877,0.013748,0.007801,0.006632,0.008759,0.014290,0.016569,0.016892,0.024036,0.017601,0.015153,0.002497,0.004397,0.005318
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA;,0.018572,0.019004,0.017322,0.036592,0.026629,0.022743,0.041893,0.019832,0.026759,0.012424,0.019226,0.017389,0.022055,0.027067,0.026744,0.003134,0.011694,0.024610
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Drancourtella;NA;,0.018132,0.021107,0.014721,0.017764,0.011086,0.013989,0.006412,0.007199,0.008922,0.014584,0.013167,0.016251,0.016415,0.019013,0.014766,0.002094,0.004429,0.005070
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;,0.017549,0.015856,0.018597,0.019603,0.015201,0.016800,0.010978,0.012500,0.012852,0.017375,0.014744,0.020235,0.020890,0.021032,0.017840,0.006553,0.009767,0.007312
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;NA;,0.017430,0.021615,0.019639,0.020846,0.010830,0.020610,0.004926,0.004795,0.004931,0.018166,0.015303,0.015165,0.023443,0.012717,0.026264,0.001600,0.002878,0.003205
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;NA;,0.017356,0.011788,0.017099,0.011451,0.012680,0.021151,0.013482,0.013939,0.009400,0.010267,0.015020,0.017295,0.030088,0.014292,0.012157,0.002409,0.010734,0.006397
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;NA;,0.017225,0.021882,0.014165,0.018740,0.017936,0.011033,0.010210,0.016867,0.009959,0.015577,0.019366,0.020593,0.015685,0.011976,0.009389,0.010072,0.014521,0.009285
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;,0.016799,0.017765,0.014774,0.016348,0.012118,0.018804,0.013724,0.009539,0.015626,0.013685,0.017240,0.014669,0.018279,0.014304,0.018500,0.004363,0.011537,0.013066
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerobium;NA;,0.016185,0.014604,0.016307,0.016357,0.011675,0.012418,0.004937,0.006318,0.005413,0.016090,0.012614,0.012198,0.018879,0.013802,0.018296,0.001603,0.003058,0.003921
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cuneatibacter;NA;,0.016164,0.013378,0.016521,0.018049,0.024096,0.011054,0.007890,0.008195,0.008343,0.018527,0.014541,0.012319,0.020293,0.016307,0.018666,0.002881,0.004542,0.006180
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Emergencia;NA;,0.016132,0.011414,0.012099,0.018885,0.010099,0.015578,0.033515,0.084253,0.062702,0.013272,0.013698,0.016811,0.023216,0.019121,0.015574,0.037514,0.039024,0.014292
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea;NA;,0.016123,0.023024,0.020252,0.021692,0.024406,0.011082,0.010070,0.053650,0.021244,0.035952,0.022614,0.023440,0.013434,0.022908,0.013093,0.020360,0.024532,0.028821
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Bariatricus;NA;,0.015877,0.014428,0.022257,0.024391,0.010930,0.011459,0.009489,0.008377,0.010025,0.012665,0.011170,0.012177,0.018327,0.017886,0.020117,0.004556,0.005573,0.004068
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;NA;,0.015871,0.018331,0.012860,0.016027,0.013434,0.019592,0.012699,0.018029,0.021004,0.015310,0.015457,0.021926,0.019083,0.014514,0.011242,0.002441,0.014113,0.009571
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;NA;,0.015389,0.005123,0.032836,0.005432,0.028386,0.094195,0.040482,0.003544,0.005980,0.003582,0.012212,0.004679,0.013831,0.005487,0.046879,0.005022,0.003694,0.052988
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Monoglobus;NA;,0.015327,0.001231,0.001673,0.001963,0.000743,0.002122,0.000750,0.000465,0.001653,0.002647,0.001940,0.002464,0.015544,0.000959,0.002003,0.000109,0.000514,0.001009
Eukaryota;Preaxostyla;NA;Oxymonadida;Streblomastigidae;Streblomastix;NA;,0.015222,0.042102,0.041686,0.003994,0.024966,0.007570,0.014831,0.003436,0.004609,0.001239,0.006174,0.027387,0.001256,0.057628,0.012760,0.002881,0.001863,0.001795
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;NA;,0.015088,0.004861,0.006270,0.006282,0.008399,0.003334,0.004754,0.006891,0.011410,0.006512,0.004622,0.005567,0.004624,0.006681,0.007155,0.012229,0.012851,0.014644
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia;NA;,0.015051,0.013829,0.015448,0.018660,0.010454,0.010046,0.108092,0.033990,0.028566,0.012848,0.014328,0.011678,0.022795,0.021547,0.020165,0.014047,0.036532,0.018618
