"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"164","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;NA;NA;","0.000954","0.000914","0.001738","0.001074","0.000826","0.000492","0.000592","0.003159","0.000838","0.001581","0.001426","0.001426","0.000951","0.000842","0.001124","0.000416","0.001673","0.002015"
"165","Bacteria;Firmicutes;Clostridia;Clostridiales;Caldicoprobacteraceae;NA;NA;","0.000954","0.000877","0.001257","0.001302","0.001063","0.001936","0.000952","0.000838","0.000943","0.001383","0.000594","0.00096","0.001118","0.000838","0.000888","0.000141","0.001301","0.000625"
"166","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;NA;NA;","0.000951","0.001935","0.000762","0.001091","0.000813","0.000546","0.000776","0.001883","0.001357","0.001353","0.000996","0.001294","0.000824","0.000821","0.000585","0.000331","0.000594","0.000835"
"167","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family IV. Incertae Sedis;NA;NA;","0.000949","0.001163","0.000613","0.001571","0.000677","0.001939","0.000783","0.000505","0.001536","0.000641","0.000717","0.000957","0.001118","0.000658","0.000837","0.000213","0.000382","0.000698"
"168","Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Saprospiraceae;NA;NA;","0.000926","0.001131","0.000569","0.000689","0.000496","0.00019","0.000342","0.000573","0.001499","5e-04","0.000797","0.000728","0.000358","0.000356","0.000284","0.000269","0.000848","0.001543"
"169","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;NA;NA;","0.000912","5e-04","0.00134","0.000772","0.000569","0.000797","0.00039","0.002142","0.00057","0.000646","0.000825","9e-04","0.000415","0.000984","0.001006","0.000341","0.001638","0.001714"
"170","Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;NA;","0.000905","0.001186","0.00074","0.000779","0.001107","0.000469","0.000761","0.002281","0.001234","0.001666","0.000801","0.000785","0.000888","0.001123","0.00066","0.000375","0.000938","0.001103"
"171","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;NA;NA;","0.000903","0.000149","0.000556","0.000245","0.000232","0.000188","0.000335","0.00118","0.000228","0.000287","0.000266","0.000289","0.000407","0.000616","0.000831","0.000191","0.000414","0.000262"
"172","Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;NA;NA;","0.000884","0.000993","0.00099","0.00087","0.000532","0.000893","0.000812","0.001301","0.001685","0.000824","0.00128","0.000827","0.000663","0.000658","0.000644","0.000513","0.001275","0.000852"
"173","Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;NA;NA;","0.00087","0.001181","0.000998","0.001","0.000726","0.000987","0.000504","0.000527","0.000419","0.001136","0.001007","0.000993","0.001666","0.000972","0.000982","0.000106","0.000408","0.000464"
"174","Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;NA;NA;","0.000866","0.001425","0.002667","0.001114","0.000894","0.000347","0.000629","0.004792","0.001112","0.000789","0.001304","0.00118","0.000759","0.000578","0.000531","0.000334","0.001166","0.001281"
"175","Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;NA;NA;","0.000863","0.000807","0.000867","0.000651","0.000559","0.000966","0.000441","0.000527","0.000616","0.000653","0.000406","0.000849","0.000591","0.000762","0.000746","0.000263","0.000922","0.000269"
"176","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;NA;NA;","0.000847","0.000437","0.00095","0.000853","0.000906","0.000729","0.000967","0.000811","0.001468","0.000598","0.000692","0.000719","0.000596","0.000565","0.000684","0.000175","0.000652","0.001515"
"177","Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;NA;NA;","0.000845","0.00076","0.000749","0.000687","0.000647","0.001109","0.00179","0.003831","0.002369","0.000849","0.000944","0.001005","0.001203","0.000976","0.000354","0.001972","0.002126","0.001973"
"178","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;NA;NA;","0.000842","0.002124","0.000762","0.001093","0.001043","0.001531","0.000801","0.001313","0.001921","0.000427","0.000961","0.00158","0.000454","0.000452","0.001126","0.000222","0.000854","0.000524"
"179","Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;NA;NA;","0.00084","0.00054","0.00074","0.000829","0.000664","0.00046","0.000871","0.001165","0.000804","0.000383","0.00058","0.000683","0.00053","0.000775","0.000856","0.000978","0.001233","0.000918"
"180","Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;NA;NA;","0.000801","0.001708","0.000701","0.00053","0.000843","0.000567","0.000555","0.002093","0.000872","0.000794","0.000566","0.000716","0.000427","0.000469","0.000174","0.000303","0.000899","0.000754"
"181","Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;NA;NA;","0.000792","0.000995","0.000609","0.000908","0.001347","0.000485","0.000831","0.000897","0.001679","0.000958","0.000881","0.000846","0.000749","0.00147","0.000451","0.000534","0.001795","0.001372"
"182","Bacteria;Cyanobacteria;NA;Synechococcales;Synechococcaceae;NA;NA;","0.000778","0.000369","0.000451","0.000891","0.000767","0.00068","0.000548","0.000576","0.000718","0.001378","0.000538","0.000536","0.001005","0.000578","0.000308","0.000263","0.000588","0.000608"
"183","Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;NA;NA;","0.000775","0.00065","0.000841","0.001136","0.001066","0.000959","0.000897","0.002539","0.001357","0.00094","0.001339","0.001137","0.000765","0.000821","0.000917","0.000541","0.000938","0.001376"
"184","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;NA;","0.000766","0.00076","0.001401","0.001131","0.001481","0.000626","0.001246","0.002561","0.001266","0.001006","0.00085","0.000846","0.001146","0.001123","0.000705","0.000659","0.001712","0.001414"
"185","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;NA;NA;","0.000745","0.00176","0.000985","0.000848","0.000762","0.000542","0.000408","0.00078","0.000718","0.001419","0.000703","0.001041","0.000887","0.000968","0.00129","0.000275","0.001779","0.000971"
"186","Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;NA;NA;","0.000724","0.001076","0.000731","0.00076","0.000701","0.000828","0.000346","0.000604","0.000744","0.000589","0.00057","0.000665","0.00077","0.000993","0.001011","0.000241","0.000392","0.000649"
"187","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;NA;NA;","0.000701","0.00109","0.000731","0.000606","0.000882","0.000689","0.000566","0.000693","0.002058","0.000623","0.000867","0.000812","0.001072","0.000712","0.00081","4e-04","0.00114","0.000904"
"188","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfonatronaceae;NA;NA;","0.000683","0.000285","0.000114","0.000307","0.000196","0.000509","7.7e-05","0.000142","0.000465","0.000278","0.000675","0.000178","0.000243","0.00023","0.000252","5.6e-05","0.000112","5.6e-05"
"189","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;NA;NA;","0.000676","0.000786","0.000591","0.000568","0.000784","0.000319","0.000592","0.001103","0.000812","0.000655","0.000542","0.001071","0.000655","0.00085","0.000764","0.000291","0.000482","0.000702"
"190","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XVI. Incertae Sedis;NA;NA;","0.000669","0.000605","0.000469","0.001176","0.000467","0.000544","0.000835","0.001895","0.00106","0.000997","0.000853","0.000644","0.001021","0.000741","0.000507","0.000744","0.000726","0.00081"
"191","Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;NA;NA;","0.000653","0.000966","0.000525","0.000525","0.00044","0.000223","0.00064","0.00074","0.000499","0.000319","0.000385","0.000493","0.000313","0.000729","0.000362","0.000241","0.000809","0.000569"
"192","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;NA;NA;","0.000648","0.000474","0.004366","0.001487","0.000179","0.000164","0.000868","0.001735","0.000986","0.000183","0.000748","0.000214","0.000251","0.000235","9.1e-05","6.6e-05","0.000935","0.000859"
"193","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Lentimicrobiaceae;NA;NA;","0.000639","0.000744","0.000596","0.000461","0.000655","0.000295","0.000581","0.000579","0.00063","0.000411","0.000864","4e-04","0.000288","0.000808","0.000295","0.000434","0.001053","0.000681"
"194","Bacteria;Fibrobacteres;Chitinispirillia;Chitinispirillales;Chitinispirillaceae;NA;NA;","0.000634","0.000144","0.000149","0.000195","9.1e-05","0.000113","6.2e-05","5.2e-05","0.000225","0.000251","0.000252","0.000162","0.000305","0.000172","5.1e-05","2.8e-05","0.000263","0.000119"
"195","Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;NA;NA;","0.000623","0.000718","0.001108","0.000893","0.000689","0.000509","0.000945","0.002469","0.001183","0.000856","0.000815","0.000518","0.000505","0.000838","0.000402","0.001022","0.001259","0.001041"
"196","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;NA;NA;","0.000623","0.000694","0.000955","0.00063","0.000449","0.000731","0.000537","0.00355","0.000564","0.000894","0.000933","0.000707","0.000363","0.000511","0.000375","0.000369","0.001391","0.001512"
"197","Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;NA;NA;","0.000623","0.003813","0.000569","0.000801","0.001452","0.000399","0.001404","0.001519","0.001573","0.000605","0.000521","0.000557","0.000933","0.005307","0.000845","0.0014","0.002043","0.001941"
"198","Bacteria;Cyanobacteria;NA;Oscillatoriales;Oscillatoriaceae;NA;NA;","0.000606","0.000691","0.000539","0.00068","0.000242","0.000445","0.000187","0.000952","0.000296","0.000408","0.001154","0.000304","0.000604","0.000176","0.000402","9.4e-05","0.000173","0.000206"
"199","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;NA;NA;","0.000567","0.000602","0.00088","0.000786","0.001033","0.000288","0.000691","0.001239","0.000733","0.001775","0.000769","0.000638","0.000962","0.000817","0.000526","0.000388","0.00097","0.001163"
"200","Bacteria;Cyanobacteria;NA;Oscillatoriales;Coleofasciculaceae;NA;NA;","0.000565","0.000322","0.00081","0.000461","0.000181","0.000295","0.000268","0.000746","0.000202","0.000472","0.00028","0.000355","0.000217","0.000327","0.000161","0.000219","0.000369","0.000133"
"201","Bacteria;Cyanobacteria;NA;Nostocales;Nostocaceae;NA;NA;","0.00056","0.000422","0.000469","0.00057","0.000328","0.000347","0.000485","0.001091","0.000351","0.000383","0.000682","0.000364","0.000409","0.000482","0.000507","0.001609","0.000636","0.000454"
"202","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;NA;","0.000551","0.000705","0.000701","0.000706","0.000279","0.000366","0.000129","0.000601","0.000228","0.000367","0.000545","0.000806","0.000516","0.000381","0.000485","4.1e-05","0.001445","0.000821"
"203","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;NA;NA;","0.000549","0.00017","0.000188","0.000518","0.000227","7.3e-05","0.000147","0.000897","0.000331","0.000513","0.000682","0.000199","0.000206","0.000427","0.000223","0.000131","0.000254","0.000293"
"204","Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae;NA;NA;","0.000549","0.000558","0.000758","0.000777","0.000684","0.000832","0.000603","0.003267","0.000539","0.000815","0.000867","0.000698","0.000588","0.000369","0.000434","0.000247","0.001728","0.001061"
"205","Bacteria;Cyanobacteria;NA;Synechococcales;Leptolyngbyaceae;NA;NA;","0.000546","0.000299","0.002119","0.000513","0.000273","0.001627","0.000364","0.001307","0.00065","0.000488","0.000413","0.000566","0.000484","0.000628","0.001019","0.000116","0.000446","0.000555"
"206","Bacteria;Firmicutes;Clostridia;Clostridiales;Proteinivoraceae;NA;NA;","0.000544","0.000901","0.00035","0.000784","0.000305","0.000434","0.000312","0.000237","0.000556","0.000274","0.000489","0.000587","0.000385","0.000364","0.000775","9.7e-05","0.000623","0.000475"
"207","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Catalimonadaceae;NA;NA;","0.000537","0.00065","0.000184","0.00033","0.000371","0.00023","0.000169","0.000505","0.000453","0.000361","0.000441","0.000665","0.000246","0.000934","0.000343","0.000103","0.000295","0.000436"
"208","Bacteria;Cyanobacteria;NA;Chroococcales;Aphanothecaceae;NA;NA;","0.000537","0.000217","0.000429","0.000537","0.000173","0.000176","0.000268","0.000561","0.001152","0.000315","0.000395","0.000181","0.00038","0.000356","0.000193","4.1e-05","0.000427","0.000318"
"209","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;NA;NA;","0.000532","0.000317","0.000433","0.000596","0.000769","0.000328","0.000393","0.001029","0.000533","0.000452","0.000273","0.000695","0.000353","0.000444","0.000327","0.000156","0.000434","0.000381"
"210","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA;","0.000518","0.000749","0.00056","0.000589","0.000435","0.000164","0.000787","0.000431","0.000279","0.000276","0.000601","4e-04","0.000412","0.001332","0.000338","0.000134","0.000157","0.000126"
"211","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;NA;NA;","0.000495","0.000212","0.000193","0.00019","0.00031","0.000265","0.000217","0.000253","0.00012","0.000173","0.00014","0.00046","0.001062","0.000159","0.000172","0.000109","9.3e-05","0.000126"
"212","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;NA;NA;","0.000493","0.000265","0.00032","0.000463","0.00021","0.00026","0.000327","0.000968","0.000556","0.000495","0.000675","0.000587","0.000444","0.000373","0.000359","1e-04","0.000511","0.000817"
"213","Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;NA;NA;","0.000486","0.000424","0.000416","0.000473","0.000278","0.000227","0.000816","0.000663","0.000841","0.000274","0.000427","0.000436","0.000385","0.000465","0.000569","0.000663","0.000829","0.00059"
"214","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;NA;NA;","0.000474","0.000306","0.00032","0.000497","0.000464","0.000155","0.000272","0.000287","0.000667","0.000221","0.000192","0.000298","0.000299","0.000436","0.000204","8.8e-05","0.000247","0.000216"
"215","Bacteria;Aquificae;Aquificae;Desulfurobacteriales;Desulfurobacteriaceae;NA;NA;","0.000468","0.000406","0.000425","0.000463","0.000464","0.000253","0.000276","0.000431","0.000373","0.000192","0.000252","0.000316","0.000385","0.000402","0.000276","7.2e-05","0.000498","0.000248"
"216","Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Caedimonadaceae;NA;NA;","0.000461","0.000359","0.001178","0.000435","0.000361","0.000377","0.000426","0.001165","0.001032","0.001002","0.000619","0.00074","0.000369","0.000444","0.000182","7.5e-05","0.000543","0.000482"
"217","Bacteria;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae;NA;NA;","0.000456","0.000249","0.000219","0.000259","0.000427","0.000774","0.000254","0.000351","0.000245","0.000226","0.000245","0.000614","0.000321","0.000222","0.000129","8.8e-05","0.000411","0.000108"
"218","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;NA;NA;","0.000454","0.00054","0.00039","0.000299","0.000437","0.000197","0.000239","0.001211","0.000294","0.000468","0.000671","0.000496","0.000473","0.000415","0.000241","0.000306","0.000463","0.000381"
"219","Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;NA;NA;","0.000451","0.000668","0.00067","0.000269","0.000411","0.000286","0.000335","0.000465","0.000182","0.000253","0.000406","0.000614","0.000141","0.000737","0.000249","0.000119","0.000315","0.000304"
"220","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;NA;NA;","0.000449","0.000885","0.000416","0.000482","0.000389","0.00049","0.000522","0.000866","0.000667","0.00024","0.000367","0.000587","0.000422","0.000482","0.000295","0.000175","0.000604","0.000475"
"221","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Persicobacteraceae;NA;NA;","0.000444","0.000723","0.000267","0.000767","0.000567","0.000331","0.000456","0.000712","0.000336","0.000237","0.000629","0.000617","0.00049","0.000452","0.000233","0.000375","0.002261","0.000807"
"222","Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Candidatus Methanomethylophilaceae;NA;NA;","0.000442","0.000809","0.000197","0.000145","8.8e-05","9.1e-05","8.1e-05","0.000564","4.6e-05","0.000155","0.00029","0.000448","0.000102","0.000109","7.8e-05","1.9e-05","0.000106","0.000119"
"223","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XVII. Incertae Sedis;NA;NA;","0.00044","0.000335","0.000385","0.000466","0.000476","0.000497","0.000445","0.000697","0.000559","0.000383","0.000308","0.000584","0.000554","0.000364","3e-04","0.000209","0.000491","0.000318"
"224","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;NA;NA;","0.000428","0.000469","0.000539","0.000537","0.000418","0.000302","0.000754","0.000653","0.000388","0.000641","0.000566","0.00071","0.000439","0.000653","0.000552","0.000213","0.001192","0.000765"
"225","Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;NA;NA;","0.000426","0.000752","0.000337","0.000364","0.000335","0.000427","0.000544","0.000475","0.000462","0.000573","0.000406","0.000554","0.000534","0.000318","0.000343","0.000297","0.000517","0.000255"
"226","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Balneicellaceae;NA;NA;","0.000424","0.000794","0.000495","0.001048","0.000819","0.000384","0.000504","0.000841","0.000752","0.000748","0.000961","0.00056","0.000588","0.00124","0.000266","0.00065","0.00247","0.000981"
"227","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;NA;NA;","0.000424","0.000631","0.000871","0.000444","0.000589","0.000298","0.000401","0.00077","0.000408","0.000379","0.000385","0.000361","0.000249","0.000557","0.00067","0.000331","0.000578","0.000237"
"228","Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;NA;NA;","0.000421","0.000508","0.000736","0.000463","0.000266","0.000249","0.000338","4.6e-05","9.1e-05","0.000397","0.000839","0.000515","0.000836","0.000423","0.00048","4.4e-05","0.000186","8e-05"
"229","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;NA;NA;","0.000421","0.00027","0.000425","0.000411","0.000286","0.000225","0.000379","0.000613","0.000336","0.000484","0.000273","0.000548","0.000206","0.000494","0.000271","0.000188","0.000572","0.00074"
"230","Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;NA;NA;","0.00041","0.000469","0.000381","0.000511","0.000562","0.000288","0.000426","0.000644","0.000108","0.000415","0.000315","0.000475","0.000363","0.000297","0.000333","6.3e-05","0.000161","0.000203"
"231","Eukaryota;Mucoromycota;Glomeromycetes;Diversisporales;Diversisporaceae;NA;NA;","0.00041","0.001048","0.000845","9e-05","0.000603","0.00019","0.000243","3.1e-05","9.7e-05","2.3e-05","7.7e-05","0.000906","2e-06","0.000503","0.000204","3e-06","6.1e-05","3e-06"
"232","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;NA;NA;","0.000403","0.00076","0.000539","0.000836","0.000581","0.000617","0.000684","0.001325","0.000576","0.000504","0.000493","0.000833","0.000697","0.000503","0.000496","0.000378","0.00052","0.000482"
"233","Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;NA;NA;","4e-04","0.000526","0.003779","0.000739","0.000677","0.000387","0.000184","0.003775","0.000276","0.004029","0.000479","0.000466","0.001021","0.000364","0.000123","0.000628","0.000405","0.000251"
"234","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;NA;NA;","4e-04","0.000299","0.000254","0.000354","0.000327","0.000183","0.00021","0.000598","0.000402","0.000659","0.000241","0.000451","0.000406","0.00023","0.000139","4.7e-05","0.00018","0.000318"
"235","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;NA;NA;","0.000391","0.000935","0.001274","0.000684","0.000784","0.000776","0.000522","0.001677","0.001323","0.001077","0.000661","0.000704","0.000786","0.000896","0.000606","0.000159","0.000418","0.000531"
"236","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;NA;NA;","0.000389","0.000503","0.001174","0.000501","0.000188","0.000267","0.001423","0.003193","0.001764","0.001351","0.000346","0.000253","0.000548","0.000327","0.000217","0.000213","0.000562","0.001645"
"237","Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;NA;NA;","0.000384","0.00072","0.000342","0.000397","0.000152","0.000281","0.000408","0.000173","0.000245","0.000345","0.000357","0.000551","0.000532","0.000264","0.000196","7.5e-05","0.000228","0.000157"
"238","Bacteria;NA;NA;Haloplasmatales;Haloplasmataceae;NA;NA;","0.000377","0.000657","0.000285","0.001084","0.000193","0.002408","0.000257","0.000358","0.000262","0.001335","0.000294","0.001116","0.001045","0.000381","0.000496","0.000144","0.000206","0.000192"
"239","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Microscillaceae;NA;NA;","0.000368","0.000351","0.000271","0.000318","0.000286","0.000103","0.000129","0.000407","0.000314","0.000137","0.000273","0.000223","0.000193","0.000247","8.9e-05","0.000228","0.000251","0.000304"
"240","Eukaryota;Haptista;Haptophyta;Isochrysidales;Noelaerhabdaceae;NA;NA;","0.000361","0.000718","0.000701","3.3e-05","0.000438","0.000183","0.000224","3.1e-05","4.8e-05","3.2e-05","0.000101","0.000689","6e-06","0.000473","0.000161","2.5e-05","3.9e-05","3e-06"
"241","Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;NA;NA;","0.000361","0.000377","0.000144","0.000718","9.1e-05","0.000185","0.000114","0.000237","0.000219","0.000443","0.000766","0.00043","0.000168","0.000159","0.000298","0.000334","0.000206","0.000213"
"242","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Schleiferiaceae;NA;NA;","0.000354","0.000733","0.000377","0.000625","0.000408","0.000188","0.000276","0.000472","0.000499","0.000267","0.000241","0.000608","0.000288","0.000574","0.000201","0.000434","0.000745","0.00051"
"243","Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;NA;NA;","0.000338","0.000377","0.000801","0.000539","0.000308","0.000286","9.9e-05","0.001257","0.000433","0.000365","0.000462","0.000969","0.000214","0.000662","0.000743","2.8e-05","0.00133","0.000747"
"244","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;NA;NA;","0.000338","0.000359","0.000477","0.000658","0.000554","0.000241","0.000276","0.001865","0.000505","0.00031","0.000594","0.000752","0.000401","0.000507","0.000402","0.000181","0.001253","0.001477"
"245","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;NA;NA;","0.000331","4.2e-05","0.000184","6.7e-05","4.1e-05","6.8e-05","7.4e-05","0.000518","0.000148","7.8e-05","5.2e-05","9.6e-05","0.000168","8.4e-05","2.1e-05","5e-05","5.1e-05","0.000133"
"246","Bacteria;Candidatus Margulisbacteria;Candidatus Termititenacia;Candidatus Termititenacales;Candidatus Termititenacaceae;NA;NA;","0.000331","0.000175","0.000372","0.000264","0.000264","0.000173","0.000176","0.001892","0.000821","0.000392","0.000325","0.000283","0.00023","0.00023","0.000115","0.000991","0.000395","0.001219"
"247","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;NA;","0.000326","0.00044","0.000679","0.000333","0.000327","0.000595","0.00054","0.000925","0.000564","0.001116","0.000311","0.000515","0.000599","0.000339","4e-04","0.000169","0.000357","0.000552"
"248","Bacteria;Planctomycetes;Planctomycetia;Isosphaerales;Isosphaeraceae;NA;NA;","0.000326","0.000257","0.000342","0.000228","0.000352","0.000136","0.000265","0.00122","0.000821","0.00023","0.000318","0.000295","0.000302","0.000276","7.5e-05","0.000116","0.000295","0.000342"
"249","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;NA;NA;","0.000319","0.000236","0.00049","0.000601","0.000257","0.000314","0.001699","0.001128","0.000225","0.000397","0.000402","0.000448","0.000475","0.00062","0.000217","0.000106","0.000646","0.001348"
"250","Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophorhabdaceae;NA;NA;","0.000306","0.000422","0.000232","0.000461","0.000305","0.000251","0.000526","0.000857","0.00039","0.000313","0.000584","0.000319","0.000315","0.000549","0.000249","0.000353","0.000752","0.000475"
"251","Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;NA;NA;","0.000306","0.000102","8.8e-05","5.5e-05","0.000152","4.9e-05","6.6e-05","8.3e-05","0.000131","5e-05","7.7e-05","5.7e-05","9.1e-05","0.000197","2.1e-05","3.4e-05","0.000119","7e-05"
"252","Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Phycomycetaceae;NA;NA;","0.000303","0.00049","0.000228","1e-05","0.000369","0.000108","2.6e-05","2.8e-05","2e-05","2.5e-05","0.000101","0.000424","2e-06","0.000176","8e-05","0","3.2e-05","0"
"253","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;NA;NA;","0.000292","0.000416","0.000469","0.00082","0.000198","0.000307","0.000257","0.001002","0.000453","0.000205","0.000441","0.00056","0.000506","0.000302","0.00015","0.000244","0.000822","0.000625"
"254","Bacteria;Firmicutes;Clostridia;Natranaerobiales;Natranaerobiaceae;NA;NA;","0.000292","0.000144","0.000197","0.00034","0.000188","0.000164","0.00029","0.000216","0.000436","0.000185","0.000199","0.000235","0.000276","0.00018","8e-05","0.000225","0.000273","0.000133"
"255","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae;NA;NA;","0.000287","0.00028","0.00018","0.000219","0.000208","0.000256","0.000143","0.000487","0.000228","0.000246","0.000213","0.000334","0.000252","0.000197","0.000392","8.4e-05","0.000186","0.000265"
"256","Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;NA;","0.000287","0.000477","0.000652","0.000523","0.000364","0.000176","0.000243","0.000401","0.000265","0.000345","0.000297","0.000481","0.000267","0.000364","0.000228","5.6e-05","0.000594","0.000367"
"257","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;NA;NA;","0.000282","0.000317","0.000639","0.000375","0.00033","0.000324","0.000243","0.002364","0.000302","0.000481","0.000434","0.000415","3e-04","0.000239","0.000416","0.000272","0.000286","0.000433"
"258","Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;NA;NA;","0.000282","0.000479","0.00056","0.000266","0.000425","0.000173","0.000257","0.000524","0.000445","0.000123","0.000182","0.000406","0.000104","0.000771","0.000145","7.2e-05","0.000135","0.00021"
