"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"12","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;NA;","0.287681","0.104925","0.285969","0.662602","0.12113","0.141259","0.018713","0.021515","0.017","0.385781","0.680228","0.071799","1.046277","0.270172","0.413729","0.010019","0.014858","0.01696"
"13","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;NA;NA;","0.157004","0.294986","0.224776","0.320135","0.312708","0.422009","0.220216","0.223216","0.704922","0.144581","0.222069","0.273001","0.052375","0.170862","0.333734","0.251861","0.992314","0.103192"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;","0.131269","0.279332","0.152762","0.158912","0.42429","0.240328","0.77945","1.380242","0.521148","0.173759","0.869821","0.303472","0.269502","0.136272","0.080091","1.09315","1.699643","0.963473"
"15","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;","0.11675","0.11976","0.17199","0.143962","0.089896","0.106869","0.099217","0.154733","0.130486","0.109015","0.157396","0.135748","0.176945","0.159318","0.112043","0.075299","0.095392","0.200368"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;","0.090094","0.140314","0.065585","0.104523","0.162427","0.045784","0.073761","0.123443","0.192123","0.181922","0.15326","0.073421","0.068091","0.309881","0.059849","0.042483","0.211829","0.167486"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;","0.084012","0.126006","0.075551","0.085975","0.117491","0.044452","0.102106","0.312052","0.121801","0.110534","0.119676","0.088866","0.068868","0.130793","0.040869","0.06358","0.185684","0.152101"
"18","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;NA;","0.082195","0.07594","0.103335","0.182712","0.042564","0.008538","0.004893","0.146172","0.025468","0.064612","0.053775","0.087106","0.037982","0.081056","0.033727","0.004969","0.437137","0.061005"
"19","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;NA;NA;","0.078309","0.064563","0.08441","0.070034","0.060767","0.059594","0.036746","0.041011","0.037556","0.048551","0.06941","0.064575","0.123233","0.0791","0.112392","0.05073","0.032902","0.027973"
"20","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","0.065704","0.067913","0.060777","0.065828","0.05842","0.063634","0.034448","0.040367","0.041359","0.076506","0.048367","0.063901","0.072309","0.05638","0.069514","0.013766","0.026825","0.026489"
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;","0.06254","0.079099","0.047313","0.060415","0.068328","0.029427","0.03314","0.065731","0.063386","0.06933","0.06497","0.053033","0.031759","0.100475","0.029753","0.073227","0.108114","0.070544"
