"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"19","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;NA;","0.176777","0.125671","0.123022","0.132148","0.095951","0.144187","0.104103","0.056886","0.121371","0.133463","0.122064","0.15394","0.210734","0.135656","0.146087","0.024751","0.037264","0.048532"
"20","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;","0.176434","0.254983","0.045434","0.366074","0.074493","0.109771","0.021235","0.09083","0.028318","0.295135","0.360618","0.322829","0.044988","0.048627","0.039322","0.101688","0.049928","0.033626"
"21","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;","0.175851","0.148813","0.158205","0.142365","0.099441","0.182387","0.019515","0.019435","0.022461","1.272723","0.141922","0.1195","0.564929","0.109971","0.19391","0.004944","0.010705","0.014844"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;","0.140472","0.094949","0.148279","0.245912","0.161736","0.120216","0.160275","0.172698","0.161903","0.248442","0.092604","0.171016","0.130391","0.138655","0.074454","0.020935","0.134901","0.064475"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;NA;","0.136368","0.132208","0.108751","0.066453","0.019565","0.044157","0.008559","0.005748","0.004814","0.070432","0.110334","0.065625","0.109704","0.07037","0.163682","0.000831","0.003777","0.002978"
"24","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;NA;","0.115456","0.097189","0.099096","0.094603","0.099683","0.115438","0.052187","0.063071","0.049744","0.136728","0.09394","0.097625","0.139538","0.15236","0.117015","0.060055","0.055716","0.137356"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;","0.114876","0.044338","0.097625","0.080474","0.080045","0.11876","0.054081","0.046145","0.040586","0.097091","0.056184","0.111373","0.110175","0.135844","0.09898","0.009722","0.045419","0.025808"
"26","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;","0.106856","0.036788","0.034023","0.04004","0.046046","0.175433","0.102401","0.020066","0.03789","0.025593","0.077109","0.140632","0.125531","0.081282","0.025025","0.00435","0.030214","0.02366"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;NA;","0.105976","0.024638","0.028799","0.035849","0.041043","0.108367","0.053265","0.020667","0.026081","0.029125","0.045884","0.116843","0.077957","0.043801","0.025025","0.003419","0.028367","0.018548"
"28","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Intestinimonas;NA;","0.085143","0.039564","0.049498","0.052056","0.055186","0.077177","0.101323","0.123027","0.062406","0.071144","0.056034","0.10265","0.096102","0.078451","0.031405","0.015697","0.102898","0.062297"
"29","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;","0.084664","0.131606","0.060782","0.096485","0.147001","0.042825","0.067595","0.119615","0.153312","0.171913","0.145747","0.069049","0.064527","0.294182","0.054563","0.038873","0.203047","0.157363"
"30","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;NA;","0.083502","0.074167","0.085005","0.057839","0.080963","0.041041","0.017077","0.016017","0.023789","0.065114","0.066998","0.052115","0.084035","0.072293","0.107508","0.022079","0.009253","0.009798"
"31","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;NA;","0.081561","0.097466","0.095654","0.06809","0.079329","0.072979","0.11311","0.220769","0.067283","0.08997","0.073435","0.075037","0.088465","0.135907","0.131959","2.669286","0.15195","0.268824"
"32","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Schaedlerella;NA;","0.080156","0.043071","0.039689","0.039947","0.051184","0.055424","0.018551","0.015311","0.019357","0.03683","0.045825","0.093963","0.056262","0.054855","0.049159","0.004894","0.009382","0.011153"
"33","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;NA;","0.077274","0.070697","0.095076","0.176023","0.039265","0.005849","0.002831","0.133656","0.021814","0.059775","0.048786","0.080703","0.034479","0.075003","0.028634","0.003347","0.420934","0.044681"
"34","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;NA;","0.07414","0.129039","0.079177","0.106652","0.056372","0.093511","0.037235","0.030246","0.034338","0.06351","0.101757","0.11026","0.119439","0.097229","0.080279","0.010969","0.020154","0.020284"
"35","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;","0.065836","0.039158","0.06643","0.030566","0.12188","0.028095","0.010371","0.019465","0.033078","0.115965","0.076249","0.041915","0.036086","0.027888","0.016963","0.038789","0.036188","0.062098"
"36","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;","0.065822","0.053914","0.041252","0.064842","0.075732","0.021226","0.060022","0.134824","0.066621","0.105232","0.084766","0.041899","0.037709","0.106113","0.031139","0.018638","0.147508","0.066476"
"37","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;","0.060892","0.074232","0.053522","0.135277","0.085765","0.028168","0.039684","0.082672","0.060744","0.093027","0.107285","0.0456","0.053068","0.097895","0.039437","0.02807","0.358283","0.152482"
"38","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;","0.057122","0.070364","0.042487","0.052605","0.060726","0.026785","0.027934","0.05631","0.056161","0.062043","0.059387","0.047589","0.027565","0.088696","0.02687","0.070755","0.093391","0.062464"
"39","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;","0.055138","0.069935","0.151799","0.424209","0.245275","0.042764","0.156625","0.218165","0.039372","0.186226","0.070924","0.059833","0.058654","0.117108","0.100559","0.121729","0.018732","0.102948"
"40","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA;","0.055013","0.022896","0.025388","0.0187","0.031594","0.131173","0.012996","0.014396","0.011729","0.036171","0.035675","0.045745","0.044394","0.03173","0.047544","0.003766","0.015533","0.008502"
"41","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;","0.053213","0.154745","0.053242","0.046748","0.185858","0.131195","0.423988","0.180658","0.206562","0.078954","0.445999","0.139416","0.131784","0.08581","0.046136","0.36968","0.710123","0.167427"
"42","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;","0.052407","0.052154","0.048368","0.050134","0.046495","0.052163","0.026349","0.030101","0.032848","0.062241","0.038388","0.048995","0.057268","0.043898","0.056351","0.009972","0.020045","0.020933"
"43","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;NA;","0.051292","0.038013","0.032552","0.040594","0.037945","0.030423","0.019085","0.023318","0.017456","0.025397","0.044175","0.036459","0.092635","0.054675","0.029144","0.044136","0.019724","0.013478"
"44","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;","0.049352","0.031814","0.041454","0.045902","0.032848","0.034355","0.028327","0.034329","0.045571","0.28513","0.043902","0.069121","0.048628","0.041108","0.026674","0.14897","0.071698","0.080911"
"45","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA;","0.043779","0.065042","0.037101","0.043851","0.06345","0.019444","0.052209","0.061629","0.068334","0.051321","0.050713","0.047562","0.032825","0.068741","0.021879","0.035582","0.088663","0.085733"
"46","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;NA;","0.041862","0.034784","0.043275","0.037628","0.036271","0.055351","0.011882","0.012288","0.016558","0.040536","0.031123","0.033565","0.044902","0.03475","0.055973","0.004981","0.007946","0.008544"
"47","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;NA;","0.041131","0.088608","0.195863","0.070644","0.070368","0.010423","0.002426","0.037208","0.006054","0.205622","0.063701","0.103526","0.015597","0.326188","0.257738","0.003181","0.297804","0.015493"
