,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;,7.272727,0,0,2.5,0,0,0,0,0,3.333333,6.060606,7.843138,6.849315,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;,3.636364,0,4.545455,2.5,5.263158,0,0,7.142858,4.545455,0,6.060606,0,6.849315,3.448276,16.666668,0,14.285715,11.111112
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,3.636364,3.448276,0,5,0,3.703704,0,0,0,0,0,3.921569,4.109589,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,1.818182,3.448276,0,2.5,2.631579,3.703704,0,7.142858,4.545455,10,0,7.843138,1.369863,0,0,7.142858,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;NA;,1.818182,3.448276,0,0,0,0,4.166667,0,4.545455,0,3.030303,0,1.369863,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;,1.818182,0,9.090909,2.5,2.631579,0,0,0,0,0,0,0,2.739726,3.448276,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;NA;,1.818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;NA;,1.818182,0,0,0,0,0,0,0,0,0,0,1.960784,0,0,0,0,0,0
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannot be assigned to a (non-viral) genus,10.909091,34.482758,36.363636,12.5,26.31579,18.518518,16.666668,35.714287,18.181818,26.666668,9.090909,5.882353,8.219178,27.586206,25,14.285715,14.285715,0
unclassified,65.454543,51.724136,45.454547,67.500001,55.263156,66.666669,75,42.857143,63.636363,53.333336,69.696969,66.666669,67.123288,62.068963,50,71.428573,42.857143,44.444445
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;NA;,0,3.448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,0,0,4.545455,0,0,0,0,0,0,0,0,1.960784,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;,0,0,0,2.5,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,14.285715,11.111112
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;,0,0,0,0,7.894736,0,4.166667,7.142858,0,0,0,0,0,0,0,7.142858,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella;NA;,0,0,0,0,0,3.703704,0,0,0,0,0,0,1.369863,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;,0,0,0,0,0,3.703704,0,0,4.545455,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;,0,0,0,0,0,0,0,0,0,3.333333,3.030303,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,0,0,0,0,0,0,0,0,0,3.333333,0,1.960784,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruthenibacterium;NA;,0,0,0,0,0,0,0,0,0,0,3.030303,0,0,0,8.333334,0,14.285715,11.111112
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;,0,0,0,0,0,0,0,0,0,0,0,1.960784,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222223
,99.999999,99.999998,100.000002,100.000001,99.999998,100.000003,100.000002,100.000004,100.000001,100.000003,99.999999,100.000003,100,99.999997,100.000002,100.000004,100.000003,100.000004
