RelTime,Delta,CO2,Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,BinTime,NormDelta,Slope
0.433333333,178.92,1.06,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,0.295238095,,
0.716666667,220.83,0.99,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,0.829166667,,
1,195.46,1.09,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,0.829166667,,
1.316666667,192.65,1.13,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,1.255555556,,
1.6,167.43,0.95,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,1.738461539,,
1.866666667,150.99,0.92,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,1.738461539,,
2.15,115.43,1,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,2.266666667,,
2.433333333,93.72,1.12,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,2.266666667,,
2.783333333,79.85,0.73,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,2.722222222,,
3.15,62.27,0.73,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,3.189393939,,
3.566666667,52.72,0.72,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,3.676666667,,
4.033333333,46.55,0.83,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,4.154166667,,
4.383333333,30.07,0.97,4128,P21,Spring,Female,Yes,Inulin,2,4073,AgStation,130.5,37.5,4.154166667,,
-0.166666667,-26.1,0.68,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,-0.188412698,,
0.15,26.86,0.89,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,0.295238095,,
0.433333333,132.27,0.89,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,0.295238095,,
0.7,137.22,0.89,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,0.829166667,,
0.983333333,145.08,0.68,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,0.829166667,,
1.233333333,160.46,1.03,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,1.255555556,,
1.516666667,114.86,0.86,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,1.738461539,,
1.8,127.14,0.93,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,1.738461539,,
2.083333333,111.16,0.76,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,2.266666667,,
2.366666667,103.19,0.98,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,2.266666667,,
2.6,85.22,0.97,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,2.722222222,,
2.933333333,78.53,0.75,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,2.722222222,,
3.166666667,97.95,1.17,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,3.189393939,,
3.433333333,112.91,0.64,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,3.676666667,,
3.683333333,112.84,0.99,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,3.676666667,,
3.95,102.52,1.11,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,4.154166667,,
4.233333333,85.87,0.96,4108,P22,Spring,Female,Yes,Inulin,2,4066,AgStation,111.4,39,4.154166667,,
-0.166666667,-25.33,1.01,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,-0.188412698,,
0.183333333,14.2,1.11,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,0.295238095,,
0.483333333,77.18,0.64,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,0.295238095,,
0.75,161.51,0.86,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,0.829166667,,
1.05,196.83,1.2,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,1.255555556,,
1.683333333,159.33,1.03,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,1.738461539,,
1.95,136.18,0.97,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,1.738461539,,
2.25,115.35,0.86,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,2.266666667,,
2.533333333,96.99,0.71,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,2.722222222,,
2.8,83.99,0.91,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,2.722222222,,
3.083333333,68.83,0.85,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,3.189393939,,
3.366666667,59.38,0.95,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,3.189393939,,
3.666666667,52.02,1.07,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,3.676666667,,
3.966666667,45.92,0.82,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,4.154166667,,
4.316666667,34.05,0.87,4085,P26,Spring,Male,Yes,Inulin,2,4069,AgStation,149.4,37,4.154166667,,
-0.1,-25.1,0.75,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,-0.188412698,,
0.166666667,33.58,1.07,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,0.295238095,,
0.45,153.21,0.62,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,0.295238095,,
0.733333333,195.1,0.79,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,0.829166667,,
1,188.04,1.09,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,0.829166667,,
1.3,157.62,0.86,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,1.255555556,,
1.6,127.3,0.69,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,1.738461539,,
1.85,110.32,0.65,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,1.738461539,,
2.116666667,99.87,0.91,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,2.266666667,,
2.4,89.53,1.02,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,2.266666667,,
2.716666667,79.94,1.12,4155,P34,Spring,Female,Yes,Inulin,2,4062,AgStation,134.6,38,2.722222222,,
