OTU,Genus,Mean,SD,SE
Otu0002,Akkermansia,0.06937652,0.110356873,0.063714571
Otu0006,Lactobacillus,0.03660441,0.053752356,0.031033937
Otu0008,Lachnospiraceae_unclassified,0.012025326,0.012298059,0.007100288
Otu0013,Lachnospiraceae_unclassified,0.045180279,0.067599619,0.039028658
Otu0014,Prevotella_1,10.83562161,3.015441456,1.740965936
Otu0016,Lachnospiraceae_unclassified,0.020957077,0.026381271,0.015231234
Otu0025,Bacteroides,0.008311655,0.007200303,0.004157097
Otu0027,Bacteroides,0.01612184,0.018864423,0.01089138
Otu0030,Prevotellaceae_UCG-003,0.007928812,0.006877981,0.003971004
Otu0031,Prevotella_1,5.096802211,3.468911973,2.002777261
Otu0050,Christensenellaceae_R-7_group,8.165549882,2.710797935,1.565079917
Otu0056,Lachnospiraceae_unclassified,0.012025326,0.012298059,0.007100288
Otu0058,Prevotella_1,2.187742432,2.625409148,1.515780678
Otu0066,Escherichia-Shigella,0.012526795,0.012647092,0.007301802
Otu0076,Prevotella_1,4.912297874,4.973841854,2.871648933
Otu0079,Muribaculaceae_ge,0.012526795,0.012647092,0.007301802
Otu0088,Christensenellaceae_R-7_group,0.173002598,0.217988861,0.125855928
Otu0092,Prevotella_1,0.103667697,0.04336462,0.025036575
Otu0095,Prevotellaceae_UCG-001,3.250053439,5.618617988,3.243910608
Otu0100,Muribaculaceae_unclassified,0.032890738,0.046449508,0.026817636
Otu0104,Akkermansia,0.011761111,0.011506,0.006642992
Otu0107,Selenomonas,0.023258007,0.03027122,0.017477097
Otu0112,uncultured,1.156042044,0.399524962,0.230665844
Otu0129,Lachnospiraceae_NK3A20_group,1.408257601,2.115992587,1.22166889
Otu0131,Succiniclasticum,1.478404195,0.792114387,0.457327454
Otu0134,Lachnospiraceae_unclassified,0.012408169,0.012291259,0.007096362
Otu0136,Lachnospiraceae_unclassified,0.020218354,0.025713405,0.014845641
Otu0140,Muribaculaceae_ge,0.008311655,0.007200303,0.004157097
Otu0141,Ruminococcaceae_NK4A214_group,2.358605467,1.207092925,0.696915425
Otu0145,Lachnospiraceae_NK3A20_group,1.541979594,1.403367424,0.81023456
Otu0147,Prevotella_1,1.173254627,0.88132133,0.508831107
Otu0174,Ruminococcaceae_UCG-005,0.028794224,0.039432009,0.022766081
Otu0180,Prevotella_1,1.638620988,0.292943127,0.169130793
Otu0186,Treponema_2,0.639780372,0.509751571,0.294305207
Otu0194,Ruminococcaceae_UCG-014,0.559332939,0.461485395,0.266438717
Otu0204,Ruminococcaceae_unclassified,0.016504682,0.018734842,0.010816566
Otu0212,Prevotella_1,0.311926666,0.178013533,0.102776161
Otu0219,Prevotella_1,0.879075846,0.344383539,0.198829929
