OTU,Mean,SD,SE,Min,Max
Unclassified,57.39058965,6.384145983,1.548382836,43.809528,64.998622
Bacteria;Lentisphaerae;NA;NA;NA;NA;NA;,0.010411059,0.020164086,0.004890509,0.001963,0.086756
Bacteria;Cyanobacteria;NA;NA;NA;NA;NA;,0.008661647,0.001682181,0.000407989,0.006003,0.012944
Bacteria;Acidobacteria;NA;NA;NA;NA;NA;,0.007119294,0.003258826,0.000790381,0.003936,0.018951
Viruses,0.005997588,0.002602727,0.000631254,0.002074,0.009947
Eukaryota;Parabasalia;NA;NA;NA;NA;NA;,0.005078824,0.006138706,0.001488855,0.000394,0.020348
Bacteria;Chlamydiae;NA;NA;NA;NA;NA;,0.004345176,0.00167856,0.000407111,0.002755,0.01022
Eukaryota;Ascomycota;NA;NA;NA;NA;NA;,0.004105176,0.002088857,0.000506622,0.001617,0.00932
Bacteria;Ignavibacteriae;NA;NA;NA;NA;NA;,0.004039471,0.001149491,0.000278792,0.002355,0.006726
Bacteria;Nitrospirae;NA;NA;NA;NA;NA;,0.003830412,0.001625233,0.000394177,0.00243,0.009748
Eukaryota;Fornicata;NA;NA;NA;NA;NA;,0.003082,0.006229271,0.00151082,0.000131,0.024937
Eukaryota;Chytridiomycota;NA;NA;NA;NA;NA;,0.002977647,0.001307921,0.000317218,0.000534,0.005529
Bacteria;Thermotogae;NA;NA;NA;NA;NA;,0.002874059,0.000456612,0.000110745,0.002382,0.003985
Bacteria;Chlorobi;NA;NA;NA;NA;NA;,0.002499412,0.001166716,0.00028297,0.001123,0.005483
Bacteria;Kiritimatiellaeota;NA;NA;NA;NA;NA;,0.002440235,0.005291125,0.001283286,0.00041,0.022781
Bacteria;Candidatus Omnitrophica;NA;NA;NA;NA;NA;,0.002389059,0.001778999,0.000431471,0.001089,0.009005
Bacteria;Candidatus Saccharibacteria;NA;NA;NA;NA;NA;,0.002096706,0.003245008,0.00078703,0.000537,0.013724
Eukaryota;Mucoromycota;NA;NA;NA;NA;NA;,0.001917824,0.00094404,0.000228963,0.000482,0.003696
Bacteria;Deinococcus-Thermus;NA;NA;NA;NA;NA;,0.001854059,0.000804694,0.000195167,0.001032,0.004648
Bacteria;Calditrichaeota;NA;NA;NA;NA;NA;,0.001612588,0.000383938,9.31E-05,0.001088,0.002544
Bacteria;Balneolaeota;NA;NA;NA;NA;NA;,0.001566059,0.000609839,0.000147908,0.000875,0.003106
Bacteria;Gemmatimonadetes;NA;NA;NA;NA;NA;,0.00152,0.000495226,0.00012011,0.000856,0.002909
Eukaryota;Chlorophyta;NA;NA;NA;NA;NA;,0.001475176,0.00085535,0.000207453,0.000447,0.003096
