"","Substrate","Antibiotics","Season","BinTime","Mean","Median","SD","SE","iqr"
"67","Inulin","Yes","Winter",0.32,105.091666666667,108.685,37.8908334121416,15.4688679647578,48.255
"68","Inulin","Yes","Winter",0.65,139.81,141.96,47.7690305532779,19.5016250604918,32.7275
"69","Inulin","Yes","Winter",0.98,178.285,164.905,32.3069650385176,13.1892632470506,42.5275
"70","Inulin","Yes","Winter",1.31,177.85625,175.46,23.7532944707526,8.39805779789504,35.585
"71","Inulin","Yes","Winter",1.64,170.34,176.09,26.3134723776895,9.30321737741458,24.2725
"72","Inulin","Yes","Winter",1.97,166.094285714286,172.78,27.1115933732803,10.2472191017723,25.665
"73","Inulin","Yes","Winter",2.3,142.7,145.33,15.2272321844779,6.21649150780942,22.3175
"74","Inulin","Yes","Winter",2.63,126.203333333333,126.395,9.33308880632059,3.8102175499278,6.98999999999997
"75","Inulin","Yes","Winter",2.96,109.465,111.065,23.1167807014731,9.43738620240442,23.46
"76","Inulin","Yes","Winter",3.29,110.765714285714,111.48,20.0108694273411,7.56339771756144,22.835
"77","Inulin","Yes","Winter",3.62,85.6657142857143,83.83,28.0598229129259,10.6056161800163,15.415
"78","Inulin","Yes","Winter",3.95,83.3042857142857,75.71,39.2448726405301,14.8331676058922,8.68499999999999
"79","Inulin","Yes","Winter",4.28,75.8833333333333,61.52,45.3122039484582,18.4986297991079,15.08
"80","Inulin","Yes","Spring",-0.34,-25.4042857142857,-25.1,0.963792113526168,0.364279178279367,0.849999999999998
"81","Inulin","Yes","Spring",-0.01,18.2714285714286,26.86,21.360906994298,8.07366395509895,20.525
"82","Inulin","Yes","Spring",0.32,111.59125,104.725,86.4412197371304,30.5615863250807,101.065
"83","Inulin","Yes","Spring",0.65,172.274285714286,161.51,98.2912871447486,37.1506145470635,83.905
"84","Inulin","Yes","Spring",0.98,195.53,174.25,106.037028962109,33.5318527837504,48.2725
"85","Inulin","Yes","Spring",1.31,157.634444444444,167.43,72.0840729827177,24.0280243275726,75.13
"86","Inulin","Yes","Spring",1.64,134.6775,131.66,66.7018962570459,23.5826815806794,47.8075
"87","Inulin","Yes","Spring",1.97,111.778571428571,111.16,62.2623067964804,23.5329399766705,25.135
"88","Inulin","Yes","Spring",2.3,97.535,91.625,51.272123587217,18.1274331371779,14.7625
"89","Inulin","Yes","Spring",2.63,85.8814285714286,79.85,45.2337007213911,17.0967318554177,6.795
"90","Inulin","Yes","Spring",2.96,86.62,68.83,41.6112937394005,15.7275907094446,47.445
"91","Inulin","Yes","Spring",3.29,65.57375,58.535,26.8935892188348,9.50831965354176,18.28
"92","Inulin","Yes","Spring",3.62,60.4442857142857,49.19,29.530792323236,11.1615903579968,24.91
"93","Inulin","Yes","Spring",3.95,56.84875,46.235,27.5481134627608,9.73972891920729,37.3075
"94","Inulin","Yes","Spring",4.28,26.1066666666667,30.07,10.5017442995596,6.06318489831137,9.925
