"AUC","Number","ID","Season","Sex","Antibiotics","Substrate","Diet","Mom","Mom_Location","BodyMass","BodyTemp","Ketones"
827.10268719585,4106,"S61","Summer","Female","Yes","Inulin",2,"4066","AgStation",152.1,36.5,0.2
514.57371348242,4013,"W03","Winter","Female","Yes","Inulin",1,"3957","AgStation",125.4,36,1.6
706.726696177125,4040,"W07","Winter","Male","Yes","Inulin",1,"3956","AgStation",153.9,36.5,2.4
629.030635971035,4028,"W13","Winter","Male","Yes","Inulin",1,"3946","AgStation",133.8,38,2.8
647.535169268995,4006,"W14","Winter","Female","Yes","Inulin",1,"3955","AgStation",134.9,37.5,1.7
633.777456070585,4048,"W18","Winter","Female","Yes","Inulin",1,"3954","AgStation",134.2,38,1.2
2826.4402640634,4054,"W31","Winter","Female","No","Inulin",1,"3945","AgStation",116.5,37.5,3.2
2960.3562230705,3989,"W32","Winter","Female","No","Inulin",1,"3961","AgStation",126.3,38,3.9
2126.41439326562,4050,"W33","Winter","Male","No","Inulin",1,"3954","AgStation",141.3,38,1.5
442.526397851675,3975,"W34","Winter","Female","No","Inulin",1,"3959","AgStation",116.6,35.5,1.2
602.68957599015,4014,"W35","Winter","Male","No","Inulin",1,"3957","AgStation",138.1,35.5,0.8
526.145261788085,4161,"W42","Winter","Female","Yes","Inulin",2,"4062","AgStation",115.8,37,2.3
3521.7223698975,4173,"W44","Winter","Female","No","Inulin",2,"4064","AgStation",110.3,36.5,2.7
1924.65318430001,4188,"W46","Winter","Female","No","Inulin",2,"4077","AgStation",124.7,36,1.3
576.308763301095,4115,"W51","Winter","Male","Yes","Inulin",2,"4066","AgStation",121.6,34,2.2
-3.10233333792,3987,"P03","Spring","Male","No","Saline",1,"3961","AgStation",172.6,36.5,0.6
-2.4786166703,4023,"P05","Spring","Female","Yes","Saline",1,"3946","Tumbledown",170.3,39,0.3
-2.32428334065,3993,"P06","Spring","Female","Yes","Saline",1,"3948","Tumbledown",152.1,40,0.6
-4.23533334107,3999,"P09","Spring","Male","No","Saline",1,"3948","Tumbledown",172.7,37,0.3
-0.199083334010003,4012,"P12","Spring","Male","No","Saline",1,"3957","AgStation",170.1,37,0.3
-1.81993333635,4046,"P16","Spring","Male","No","Saline",1,"3954","Tumbledown",154.4,39,0.2
-2.256583332725,4119,"P19","Spring","Male","Yes","Saline",2,"4070","AgStation",164.5,37,0.1
-0.467499997565,4130,"P20","Spring","Female","Yes","Saline",2,"4073","AgStation",149.8,36,0.2
-1.01924999947,4150,"P24","Spring","Male","Yes","Saline",2,"4061","AgStation",147.3,39,0.5
-2.96749999983,4116,"P32","Spring","Male","Yes","Saline",2,"4066","AgStation",144.2,39,0.2
2.26724998967,4095,"P33","Spring","Male","No","Saline",2,"4068","AgStation",170.9,37,0.4
0.446250001879997,4110,"P35","Spring","Female","No","Saline",2,"4066","AgStation",154.2,40,0.3
1.697916672595,4098,"P41","Spring","Male","No","Saline",2,"4067","AgStation",174.9,38.5,0.3
6.1069166998,4022,"S05","Summer","Male","No","Saline",1,"3946","Tumbledown",148,39,NA
-2.153333334015,4029,"S08","Summer","Female","No","Saline",1,"3949","Tumbledown",157,36,NA
-2.006250003515,3967,"S12","Summer","Male","Yes","Saline",1,"3958","AgStation",156,35,NA
0.416499999399997,4002,"S23","Summer","Female","Yes","Saline",1,"3955","Tumbledown",183,34,NA
