"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
24384072	"unclassified"	NA	NA	NA	NA	NA	NA
1526	"Viruses"	NA	NA	NA	NA	NA	NA
575691	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA
14495	"Bacteria"	"Firmicutes"	"Clostridia"	NA	NA	NA	NA
1546	"Bacteria"	"Firmicutes"	"Bacilli"	NA	NA	NA	NA
331	"Bacteria"	"Firmicutes"	"Negativicutes"	NA	NA	NA	NA
343	"Bacteria"	"Firmicutes"	"Tissierellia"	NA	NA	NA	NA
1186649	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
1031	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA
1962	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	NA
1	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	NA	NA	NA
23	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	NA	NA	NA
27	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	NA	NA	NA
242	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	NA	NA	NA
3	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	NA	NA	NA
322537	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
126756	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
73860	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
18611	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	NA	NA
4820	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	NA	NA
17879	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	NA	NA
7278	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA
1631	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	NA	NA
677	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	NA	NA
853	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	NA	NA
