"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
17511480	"unclassified"	NA	NA	NA	NA	NA	NA
3118	"Viruses"	NA	NA	NA	NA	NA	NA
53764	"Bacteria"	"Bacteroidetes"	NA	NA	NA	NA	NA
11363	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	NA	NA	NA	NA
181	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	NA	NA	NA	NA
161	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	NA	NA	NA	NA
64	"Bacteria"	"Bacteroidetes"	"Cytophagia"	NA	NA	NA	NA
2077098	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
447	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	NA	NA	NA
220	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	NA	NA	NA
292	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	NA	NA	NA
380	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	NA	NA	NA
1	"Bacteria"	"Bacteroidetes"	"Saprospiria"	"Saprospirales"	NA	NA	NA
161688	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	NA	NA
107187	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	NA	NA
292328	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	NA	NA
126	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	NA	NA
195953	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	NA	NA
7585	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA
4601	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	NA	NA
1	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"	NA	NA
3037	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
5	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonamonadaceae"	NA	NA
898	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	NA	NA
