"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
23170128	"unclassified"	NA	NA	NA	NA	NA	NA
1865	"Viruses"	NA	NA	NA	NA	NA	NA
408471	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA
20555	"Bacteria"	"Firmicutes"	"Clostridia"	NA	NA	NA	NA
864	"Bacteria"	"Firmicutes"	"Bacilli"	NA	NA	NA	NA
1663	"Bacteria"	"Firmicutes"	"Negativicutes"	NA	NA	NA	NA
147	"Bacteria"	"Firmicutes"	"Tissierellia"	NA	NA	NA	NA
1474184	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
1549	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA
2098	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	NA
195	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	NA	NA	NA
10	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	NA	NA	NA
313	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	NA	NA	NA
2	"Bacteria"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	NA	NA	NA
790554	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
96430	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
66445	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
58634	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	NA	NA
18086	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	NA	NA
1253	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	NA	NA
3972	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA
1044	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	NA	NA
1531	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	NA	NA
1667	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	NA
1050	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	NA	NA
349	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XIII. Incertae Sedis"	NA	NA
1098	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	NA	NA
854	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	NA	NA
114	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Hungateiclostridiaceae"	NA	NA
68	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	NA	NA
21	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	NA	NA
39	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	NA	NA
1325	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	NA	NA
