RelTime,Delta,CO2,,,
-0.933333333,-23.75,1.18,,,
-0.633333333,-23.51,0.98,,,
-0.333333333,-24.04,0.98,,,
0,NA,NA,,,
0.2,31.64,1.01,,,
0.5,155.78,0.96,,,
0.8,229.57,0.73,,,
1.066666667,257.24,0.93,,,
1.35,280.74,0.6,,,
1.633333333,274.98,0.89,,,
2.066666667,238.72,0.72,,,
2.333333333,206.08,0.78,,,
2.616666667,208.6,0.89,,,
2.9,264.98,0.51,,,
3.166666667,269.46,0.51,,,
3.433333333,419.86,0.9,,,
3.716666667,483.76,0.89,,,
23.41667,139.4,0.99,,,
23.7,129.34,0.85,,,
23.966667,124.5,0.96,,,
