RelTime,Delta,CO2
-0.8,-21.89,0.72
-0.5,-22.6,0.73
-0.2,-20.93,0.71
0,NA,NA
0.1,-27.04,0.58
0.366666667,-15.85,0.5
0.65,-20.01,0.73
0.95,-18.57,0.9
1.266666667,-16.79,0.79
1.55,-14.86,0.71
1.85,-14.23,0.88
2.166666667,-13.77,0.7
