RelTime,Delta,CO2
-0.733333333,-24.98,0.61
-0.466666667,-26.06,0.66
-0.183333333,-25.49,0.99
0,NA,NA
0.3,-28.16,1.05
0.666666667,-25.61,0.56
0.95,-24.94,0.56
1.366666667,-24.97,0.72
1.65,-25.37,1.14
1.966666667,-24.17,0.56
2.233333333,-22.92,0.56
2.5,-22.58,0.74
