RelTime,Delta,CO2
-0.83,-20.45,0.97
-0.55,-20.3,0.9
-0.27,-21.22,0.88
0.00,NA,NA
0.18,-22.86,1.15
0.5,-18.33,0.81
0.783333333,-14.14,1.1
1.1,-10.82,1.09
1.4,-12.89,0.76
1.683333333,-6.95,0.85
1.95,-5.55,1.01
2.266666667,-5.2,0.96
2.566666667,63.49,0.85
