RelTime,Delta,CO2
-0.833333333,-19.34,1.09
-0.5,-20.39,0.98
-0.166666667,NA,NA
0,NA,NA
0.35,-20.59,0.7
0.733333333,-17.55,0.92
1.066666667,-13.33,0.89
1.4,41.8,0.59
1.7,66.71,0.72
2.05,149.7,0.81
2.466666667,224.42,0.68
