taxon,HedgesG,power,fdr
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;,-2.193450228,0.970289845,0.067226891
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;,1.508206511,0.754448649,0.067226891
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;NA;,-1.361701692,0.667204071,0.25052521
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;,1.118696933,0.502649123,0.151260504
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;,-1.084173102,0.478528998,1
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mangrovibacterium;NA;,0.987138626,0.411435156,0.371060924
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;NA;,0.887162378,0.344963562,0.371060924
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Marinilabilia;NA;,0.843697417,0.317386023,0.371060924
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;NA;,0.809730157,0.296524554,0.335609244
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;NA;,0.779497168,0.278518071,0.371060924
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;NA;,0.749938015,0.26146164,0.202380952
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;NA;,0.725633344,0.247866037,0.202380952
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;NA;,0.67355017,0.220109605,0.371060924
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;,0.673290836,0.219976264,0.335609244
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;,0.660064675,0.213241335,0.371060924
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,-0.653892705,0.21014278,0.25052521
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;NA;,0.637075307,0.201844508,0.25052521
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;,0.613077538,0.190374655,0.439705882
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,0.593696931,0.181435216,0.439705882
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;,0.590950198,0.180191895,0.371060924
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;,0.582648458,0.176469942,0.945738295
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;NA;,0.571909065,0.171735361,0.439705882
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;NA;,0.569142003,0.170530189,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella;NA;,0.555131323,0.164520891,0.869006426
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Fibrisoma;NA;,0.531739908,0.154835712,0.447682299
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;NA;,0.5278239,0.153256962,0.439705882
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;NA;,0.523661713,0.151592415,0.311247576
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA;,-0.516924319,0.148927399,0.371060924
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;,0.508216479,0.145536889,0.869006426
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,-0.506903466,0.145030931,0.439705882
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;,0.488964758,0.138257175,0.202380952
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;,0.398570466,0.108060747,0.768119748
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;Actinopolyspora;NA;,0.279048416,0.078100651,0.439705882
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;,-0.241223611,0.070925104,0.151260504
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;,-0.20375391,0.064882751,0.151260504
Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;Lewinella;NA;,-0.120697165,0.055194585,1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;,0.084455722,0.052539505,1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,0.04893349,0.050851673,0.056722689
Unclassified,-0.012561632,0.050056098,0.335609244
