taxon,HedgesG,power,fdr
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,-2.465410831,0.990832889,0.007352941
Unclassified,2.414348892,0.988393254,0.155354449
Eukaryota;Ascomycota;NA;NA;NA;NA;NA;,1.286349797,0.618021365,0.038235294
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,0.7698296,0.272878292,0.007352941
Bacteria;Deinococcus-Thermus;NA;NA;NA;NA;NA;,0.725633344,0.247866037,0.007352941
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,0.62207208,0.194622035,0.547672915
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,0.353799854,0.095524121,0.007352941
