taxon,HedgesG,power,fdr
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,-2.188551584,0.969708848,0.031674208
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,1.58530045,0.794853633,0.031674208
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;,-1.334774812,0.649907371,0.179864253
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,1.118696933,0.502649123,0.070588235
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;,-1.020831226,0.434540623,0.937869822
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;,1.020524451,0.434329101,0.453928425
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,0.925155082,0.369782735,0.031674208
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;,0.896752052,0.351169491,0.33126935
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;,0.843697417,0.317386023,0.320135747
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;NA;NA;,0.809730157,0.296524554,0.23594053
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA;,0.779497168,0.278518071,0.33126935
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;NA;NA;,0.725633344,0.247866037,0.070588235
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;NA;,0.717617606,0.24347002,0.070588235
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0.703993036,0.236100279,0.070588235
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0.660064675,0.213241335,0.33126935
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,-0.653892705,0.21014278,0.116001645
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;,0.610773078,0.189296469,0.926659125
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0.577540644,0.174206791,0.070588235
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;NA;NA;,0.573294289,0.172340953,1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;,0.523661713,0.151592415,0.235642186
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;,-0.516924319,0.148927399,0.453928425
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,-0.493311571,0.139874804,0.914223884
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,0.398570466,0.108060747,0.937869822
Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;Actinopolysporaceae;NA;NA;,0.279048416,0.078100651,0.453928425
Unclassified,-0.160118032,0.059162343,0.257013575
Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Lewinellaceae;NA;NA;,-0.120697165,0.055194585,1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,0.074899704,0.051996702,0.027149321
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,0.016880733,0.050101309,0.031674208
