,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;,27.777779,3.125000,0,50.000000,0,0,0,0,0,0,10.000000,0,0,0,0,0,20.000000,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;,27.777779,37.500000,0,0,0,0,0,0,40.000000,0,30.000002,0,0,0,0,0,20.000000,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. tc2-28;,16.666668,0,0,0,0,0,0,0,0,0,10.000000,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0.000000,0
cannot be assigned to a (non-viral) species,5.555556,9.375000,0,0.000000,0,49.532711,0,0,30.000002,56.521736,0.000000,0,14.285715,0,0,0,20.000000,0
unclassified,22.222222,43.750000,0,50.000000,0,2.803738,0,0,30.000001,2.173913,50.000000,0,64.285713,0,0,0,40.000001,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria polaris;,0,3.125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;Sinomonas mesophila;,0,3.125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;,0,0,0,0,0,44.626167,0,0,0,36.956520,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus CAG:6;,0,0,0,0,0,2.803738,0,0,0,2.173913,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;,0,0,0,0,0,0.233645,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius;,0,0,0,0,0,0,0,0,0,2.173913,0,0,7.142858,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola;,0,0,0,0,0,0,0,0,0,0,0,0,7.142858,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis;,0,0,0,0,0,0,0,0,0,0,0,0,7.142858,0,0,0,0,0
