"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00015","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001","Otu00015",-0.45202750968393
"Otu00425","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Otu00425",-0.434292048811217
"Otu00506","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-008","Otu00506",-0.408572490070615
"Otu00272","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Otu00272",-0.40355562548073
"Otu00367","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Otu00367",-0.400577247153528
