"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00252","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified","Otu00252",-0.479898979268586
"Otu00375","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","Otu00375",-0.471800766842524
"Otu00115","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Otu00115",-0.435889894354067
"Otu00773","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Otu00773",-0.428502855439913
"Otu00400","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Otu00400",-0.423850354260814
