"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00109","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00109",0.43355498476206
"Otu00275","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified","Otu00275",0.405135240644595
"Otu00561","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Otu00561",0.381113430589435
"Otu00205","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","uncultured","Otu00205",0.375154289247425
"Otu00186","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00186",0.352507977495105
