"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00631","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae_UCG-001","Otu00631",-0.418539335278269
"Otu00841","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured","Otu00841",-0.412189348223541
"Otu00228","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Otu00228",-0.404095340268839
"Otu00271","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Otu00271",-0.396825396825397
"Otu00674","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Otu00674",-0.356493859955415
