"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00109","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00109",0.43355498476206
"Otu00353","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Otu00353",0.421775694939983
"Otu00275","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified","Otu00275",0.405135240644595
"Otu00186","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00186",0.400577247153528
"Otu00561","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified","Otu00561",0.398839636663362
