"","Phylum","Class","Order","Family","Genus","Species","Kendalls_Tau"
"Otu00224","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00224",0.477605607025523
"Otu00080","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00080",0.452088460162994
"Otu00353","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Otu00353",0.40337203015206
"Otu00610","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group","Clostridiales_vadinBB60_group_ge","Otu00610",0.399893375981046
"Otu00549","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge","Otu00549",0.394622801833796
