,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,29.761904,40.983604,51.666664,50.000000,46.666668,58.695648,48.717949,53.846157,50.000000,38.461540,56.451614,39.285713,28.148148,42.000000,52.380955,78.048775,63.157890,63.636364
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,16.666668,14.754099,10.000000,6.250000,10.000000,2.173913,12.820514,19.230770,7.142858,12.820514,6.451612,14.285715,13.333334,6.000000,4.761905,7.317073,5.263158,27.272728
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,1.190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,1.190476,0,1.666667,0,0,2.173913,0,0,0,2.564103,0,0,0,2.000000,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,7.142858,0.000000,10.000000,8.750000,10.000000,6.521739,7.692308,3.846154,4.761905,8.974360,6.451612,1.785714,2.962963,8.000000,7.142858,0.000000,5.263158,0.000000
unclassified,44.047618,44.262296,26.666668,34.999999,31.666666,30.434781,30.769232,23.076923,38.095239,37.179488,30.645162,41.071430,54.074073,41.999999,33.333334,14.634146,26.315790,9.090909
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0,0,0,0,1.666667,0,0,0,0,0,0,1.785714,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,1.785714,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,1.481481,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.380952,0,0,0
