,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) species,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666672,0.000000,25.000000,100.000000,0.000000,25.000000,50.000000,0.000000,0.000000,0.000000,0.000000
unclassified,100.000000,0.000000,33.333334,50.000000,100.000000,0.000000,100.000000,0.000000,100.000000,25.000000,0.000000,50.000000,25.000000,0.000000,0.000000,0.000000,-nan,-nan
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter sp. 47-17;,0,0,66.666672,0,0,0,0,33.333336,0,25.000000,0,0,25.000000,50.000000,100.000000,50.000000,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium MD335;,0,0,0,25.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter sp. 221;,0,0,0,25.000000,0,50.000000,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium Marseille-P3773;,0,0,0,0,0,50.000000,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium saccharoperbutylacetonicum;,0,0,0,0,0,0,0,0,0,25.000000,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;,0,0,0,0,0,0,0,0,0,0,0,50.000000,0,0,0,50.000000,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;Bacteroidaceae bacterium;,0,0,0,0,0,0,0,0,0,0,0,0,25.000000,0,0,0,0,0
