,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,12.727272,13.793103,31.818182,12.500000,23.684212,3.703704,8.333334,21.428572,13.636364,16.666668,9.090909,3.921569,10.958904,17.241379,41.666664,7.142858,28.571430,44.444447
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,7.272727,0,0,2.500000,0,0,0,0,0,3.333333,6.060606,7.843138,6.849315,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,5.454545,3.448276,0,5.000000,7.894736,7.407407,4.166667,7.142858,4.545455,3.333333,6.060606,5.882353,4.109589,0,8.333334,7.142858,14.285715,11.111112
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,1.818182,3.448276,0,2.500000,2.631579,3.703704,0,7.142858,4.545455,10.000000,0,7.843138,1.369863,0,0,7.142858,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,1.818182,3.448276,0,0,0,0,4.166667,0,4.545455,0,3.030303,0,1.369863,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,1.818182,6.896552,4.545455,2.500000,5.263158,3.703704,4.166667,7.142858,0,0,3.030303,1.960784,2.739726,10.344828,0,7.142858,14.285715,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,3.636364,17.241379,13.636364,5.000000,5.263158,11.111112,4.166667,14.285715,9.090909,10.000000,3.030303,1.960784,4.109589,6.896552,0.000000,0.000000,0.000000,0.000000
unclassified,65.454543,51.724136,45.454547,67.500001,55.263156,66.666669,75.000000,42.857143,63.636363,53.333336,69.696969,66.666669,67.123288,62.068963,50.000000,71.428573,42.857143,44.444445
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,0,4.545455,0,0,0,0,0,0,0,0,1.960784,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;,0,0,0,2.500000,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0,0,0,0,0,3.703704,0,0,0,0,0,0,1.369863,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,3.333333,0,1.960784,0,0,0,0,0,0
