,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,19.672131,16.000000,27.586206,25.581396,18.918919,14.285715,25.000000,18.750000,10.526316,10.000000,7.894736,13.333334,11.111112,21.739130,9.090909,24.000000,31.250000,71.428574
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,13.114754,28.000000,27.586206,23.255816,24.324326,25.714287,12.500000,25.000000,42.105263,33.333336,23.684212,8.888889,16.666668,34.782608,27.272728,28.000000,25.000000,28.571430
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,1.639344,2.000000,6.896552,4.651163,0,0,12.500000,6.250000,10.526316,6.666667,0,2.222222,3.333333,4.347826,0,0,6.250000,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,8.196721,14.000000,6.896552,2.325581,2.702703,5.714286,0.000000,18.750000,0.000000,6.666667,26.315790,8.888889,12.222222,4.347826,27.272728,0.000000,0.000000,0.000000
unclassified,57.377046,38.000000,31.034482,44.186047,54.054052,54.285717,50.000000,25.000000,36.842105,43.333334,39.473686,62.222224,53.333336,34.782609,36.363637,44.000000,31.250000,0.000000
Bacteria;Verrucomicrobia;NA;NA;NA;NA;NA;,0,2.000000,0,0,0,0,0,6.250000,0,0,2.631579,2.222222,1.111111,0,0,4.000000,6.250000,0
Bacteria;Lentisphaerae;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,2.222222,0,0,0,0,0,0
Bacteria;Cyanobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,1.111111,0,0,0,0,0
Bacteria;Candidatus Wolfebacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,1.111111,0,0,0,0,0
