"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"11","Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;","0.076082","0.100583","0.086384","0.095408","0.115322","0.081578","0.059224","0.223263","0.102829","0.089087","0.09007","0.202637","0.061371","0.100466","0.050459","0.055108","0.173948","0.115581"
"12","Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;","0.058332","0.04861","0.061548","0.062611","0.050842","0.045561","0.055908","0.092867","0.051512","0.056642","0.050569","0.062673","0.063391","0.061867","0.056617","0.027404","0.049013","0.057796"
"13","Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;","0.050007","0.052539","0.05177","0.092921","0.051094","0.041381","0.112062","0.066652","0.064777","0.036458","0.065323","0.052334","0.060418","0.0577","0.060691","0.009403","0.041314","0.050858"
"14","Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;","0.04224","0.054969","0.042851","0.059888","0.055482","0.023913","0.033728","0.05254","0.059059","0.046628","0.049227","0.046729","0.03174","0.057607","0.024684","0.028207","0.092402","0.061459"
"15","Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;","0.04045","0.040279","0.068712","0.054608","0.039944","0.03285","0.260672","0.237988","0.251173","0.047264","0.074169","0.029006","0.047089","0.053017","0.033564","0.314282","0.170007","0.148323"
"16","Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;","0.03727","0.045045","0.036896","0.049069","0.053049","0.021885","0.024456","0.054796","0.042088","0.045167","0.045423","0.034425","0.027799","0.048359","0.023665","0.039632","0.087019","0.053281"
"17","Bacteria;Tenericutes;Mollicutes;NA;NA;NA;NA;","0.035002","0.042777","0.005688","0.040439","0.005464","0.012074","0.010213","0.04151","0.009138","0.009672","0.008653","0.048606","0.054434","0.008604","0.004677","0.000738","0.023909","0.006851"
"18","Bacteria;Firmicutes;Tissierellia;NA;NA;NA;NA;","0.034039","0.03107","0.032885","0.034259","0.025801","0.033138","0.023511","0.023308","0.023607","0.028888","0.026638","0.033008","0.034666","0.028027","0.032115","0.00796","0.019024","0.01946"
"19","Bacteria;Fusobacteria;Fusobacteriia;NA;NA;NA;NA;","0.025895","0.024604","0.022135","0.042982","0.030812","0.027054","0.046776","0.025494","0.031482","0.016003","0.023565","0.023455","0.028797","0.032706","0.031933","0.004897","0.015735","0.029104"
"20","Bacteria;Elusimicrobia;Elusimicrobia;NA;NA;NA;NA;","0.02424","0.0193","0.005675","0.065051","0.080316","0.000265","0.000419","0.001757","0.020229","0.030761","0.00072","0.000683","0.011325","0.037414","0.000807","0.000303","0.007288","0.046154"
"21","Bacteria;Proteobacteria;Epsilonproteobacteria;NA;NA;NA;NA;","0.02365","0.011778","0.042006","0.012608","0.036386","0.109174","0.049452","0.011828","0.015346","0.008611","0.019086","0.011572","0.02065","0.011703","0.058931","0.007903","0.01147","0.06795"
"22","Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;","0.022316","0.026733","0.022358","0.028825","0.029066","0.01239","0.015779","0.030169","0.026118","0.028733","0.027187","0.023963","0.017556","0.028186","0.014506","0.022432","0.051727","0.031241"
"23","Bacteria;Synergistetes;Synergistia;NA;NA;NA;NA;","0.018592","0.010233","0.015685","0.012772","0.012858","0.014434","0.013901","0.018106","0.011846","0.011456","0.011006","0.016366","0.016667","0.012931","0.01216","0.004297","0.011595","0.009107"
"24","Bacteria;Fibrobacteres;Fibrobacteria;NA;NA;NA;NA;","0.017225","0.021882","0.014165","0.01874","0.017936","0.011033","0.01021","0.016867","0.009959","0.015577","0.019366","0.020593","0.015685","0.011976","0.009389","0.010072","0.014521","0.009285"
"25","Bacteria;Chloroflexi;Anaerolineae;NA;NA;NA;NA;","0.009068","0.010353","0.011595","0.013477","0.008489","0.009785","0.004831","0.015351","0.007687","0.016779","0.011761","0.010489","0.013416","0.009106","0.013074","0.001697","0.004718","0.005115"
"26","Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;NA;","0.004242","0.004638","0.004177","0.00413","0.003335","0.00369","0.002783","0.006623","0.003928","0.003361","0.003168","0.004598","0.003865","0.004013","0.00435","0.000966","0.003054","0.003317"
"27","Bacteria;Bacteroidetes;Saprospiria;NA;NA;NA;NA;","0.003534","0.004167","0.003481","0.003961","0.005134","0.001906","0.0025","0.004533","0.006373","0.00421","0.003996","0.003439","0.002874","0.004918","0.001652","0.002553","0.007477","0.00618"
"28","Eukaryota;Chytridiomycota;Neocallimastigomycetes;NA;NA;NA;NA;","0.003375","0.004672","0.002908","0.004146","0.003049","0.002023","0.000801","0.001282","0.002343","0.002877","0.003077","0.003638","0.003015","0.002203","0.002199","0.000119","0.000989","0.000436"
