"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"25","Bacteria;Ignavibacteriae;NA;NA;NA;NA;NA;","0.003039","0.004458","0.003735","0.005387","0.003177","0.002743","0.003066","0.004518","0.004575","0.002697","0.004416","0.004465","0.002355","0.004528","0.003527","0.002056","0.006726","0.005259"
"26","Bacteria;Nitrospirae;NA;NA;NA;NA;NA;","0.002842","0.004324","0.003302","0.003529","0.003159","0.002961","0.002728","0.009748","0.004196","0.00243","0.003975","0.003969","0.003493","0.003426","0.003521","0.001172","0.00316","0.004354"
"27","Eukaryota;Mucoromycota;NA;NA;NA;NA;NA;","0.002636","0.003206","0.003696","0.001468","0.001982","0.001116","0.001588","0.001214","0.000827","0.001113","0.002294","0.002795","0.002272","0.00253","0.002706","0.000225","0.000678","0.000482"
"28","Bacteria;Deinococcus-Thermus;NA;NA;NA;NA;NA;","0.002518","0.001032","0.001725","0.001792","0.001405","0.001388","0.001452","0.004648","0.002089","0.001745","0.001919","0.001715","0.001726","0.001299","0.001314","8e-04","0.001622","0.00213"
"29","Eukaryota;Evosea;NA;NA;NA;NA;NA;","0.002507","0.003441","0.002684","0.000953","0.00099","0.000797","0.000732","0.001091","0.000884","0.000262","0.000434","0.002154","0.000141","0.002748","0.00037","0.000359","0.001339","0.000318"
"30","Bacteria;Candidatus Saccharibacteria;NA;NA;NA;NA;NA;","0.002303","0.00093","0.001025","0.001345","0.000785","0.000537","0.013724","0.001304","0.001038","0.000815","0.000643","0.001158","0.005943","0.001102","0.001381","0.000253","0.000797","0.000814"
"31","Bacteria;Chlorobi;NA;NA;NA;NA;NA;","0.001842","0.002467","0.002111","0.003274","0.001901","0.001123","0.001272","0.005483","0.002409","0.002154","0.002895","0.001929","0.001628","0.002274","0.001499","0.000803","0.0045","0.003729"
"32","Eukaryota;Chlorophyta;NA;NA;NA;NA;NA;","0.00156","0.002721","0.003096","0.001143","0.001754","0.000769","0.00146","0.001828","0.001043","0.000568","0.000947","0.002515","0.000447","0.002848","0.000797","0.000347","0.000803","0.000779"
"33","Bacteria;Candidatus Omnitrophica;NA;NA;NA;NA;NA;","0.001544","0.002004","0.002461","0.002478","0.001424","0.001381","0.001485","0.009005","0.002816","0.002533","0.002021","0.001748","0.002272","0.002073","0.001089","0.000756","0.001616","0.002664"
"34","Bacteria;Calditrichaeota;NA;NA;NA;NA;NA;","0.001532","0.002247","0.001892","0.001692","0.001518","0.001768","0.001224","0.001935","0.00136","0.001088","0.001433","0.001622","0.001353","0.001667","0.001142","0.000534","0.002544","0.001397"
