RelTime,Delta,CO2
-1.266666667,-23.84,0.77
-0.25,-24.65,0.89
0,NA,NA
0.116666667,-30.99,0.99
0.383333333,-23.31,0.69
0.666666667,-14.48,0.73
0.966666667,17.11,0.84
1.25,-6.11,0.81
1.566666667,-24.03,0.83
1.883333333,-10.4,1.15
2.166666667,-23.1,0.67
2.416666667,-24.19,0.87
2.733333333,-24.01,0.88
