RelTime,Delta,CO2
-0.716666667,-27.01,0.97
-0.416666667,-27.35,0.93
-0.15,-27.97,0.71
0,NA,NA
0.2,-31.88,0.62
0.45,-28.59,0.57
0.716666667,-27.64,0.98
1.016666667,-28.56,0.84
1.283333333,-27.07,1.08
1.583333333,-27.79,0.72
1.866666667,-27.1,1.12
2.183333333,-27.94,0.86
2.466666667,-26.84,1.07
2.75,-27.33,0.99
