RelTime,Delta,CO2
-0.933333333,-20.16,1.09
-0.533333333,-19.78,0.93
-0.183333333,-19.92,1.06
0,NA,NA
0.3,-20.95,1.21
0.75,-18.96,1.05
1.133333333,-17.36,0.95
1.483333333,-17.29,0.93
1.833333333,-16.82,1.29
2.283333333,-16.25,1.3
2.7,-16.68,0.65
3.033333333,-15.55,0.71
,,
