RelTime,Delta,CO2
-0.433333333,-25.41,0.58
-0.183333333,-25.81,0.81
0,NA,NA
0.133333333,-31.13,0.81
0.433333333,-26.84,0.98
0.75,-26.11,0.64
1.05,-25.48,0.68
1.35,-25.06,0.98
1.783333333,-25.25,0.96
2.133333333,-23.84,0.66
2.45,-24.14,1.02
2.9,-23.95,0.85
3.133333333,-24.54,1.15
