"Compound","P-value","Lower_CI","Upper_CI","AdjP"
"Acetate","0.0435966448855414","10.2314","16.5627",0.0761904761904761
"Butyrate","0.696466485711776","-0.0490999999999999","2.7193",0.696466485711776
"Fructose","0.049745990721503","-14.5288","-7.3786",0.0761904761904761
"Glucose","0.228571428571429","-6.1187","0.9877",0.261224489795919
"Glutamate","0.0476781031360219","-5.5562","-0.618",0.0761904761904761
"Lactate","0.0571428571428571","-1.9104","-0.8267",0.0761904761904761
"Phenylalanine","0.049745990721503","-1.3404","-0.3648",0.0761904761904761
"Propionate","0.0571428571428571","0.0199","1.5132",0.0761904761904761
