"Compound","P-value","Lower_CI","Upper_CI","AdjP"
"Acetate","0.759981527157728","-0.3563","1.4673",0.785714285714286
"Butyrate","0.1","1.375","2.8907",0.25
"Fructose","0.0765225004750592","15.9188","32.7686",0.25
"Glucose","0.785714285714286","-5.85","10.2013",0.785714285714286
"Lactate","0.368227133821696","-1.2644","3.1356",0.613711889702827
