"Compound","P-value","Lower_CI","Upper_CI","AdjP"
"Acetate","0.0174825174825175","146.5853","442.747",0.0593213262258451
"Butyrate","0.00606060606060606","26.6213","86.1594",0.0484848484848485
"Fructose","0.0727272727272727","-78.2085","81.2193",0.145454545454545
"Glucose","0.317599067599068","-8.3605","23.0413",0.423465423465424
"Glutamate","0.0222454973346919","5.6804","67.5052127939429",0.0593213262258451
"Lactate","0.625512476416199","-30.4614631986793","0.475936010594983",0.714871401618513
"Phenylalanine","1","-0.4905","0.4717",1
"Propionate","0.25","-305.9475","-267.0563",0.4
