,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,31.250000,38.888889,56.250000,29.411766,42.857143,23.529411,20.000000,50.000000,16.666668,38.461540,26.086956,52.941177,30.909092,40.000000,50.000000,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,25.000000,22.222223,31.250000,17.647058,28.571430,17.647058,60.000004,50.000000,50.000000,7.692308,8.695652,0,7.272727,40.000000,25.000000,100.000000,66.666672,100.000000
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,12.500000,5.555556,0,5.882353,0,0,0,0,0,0,0,5.882353,3.636364,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;NA;NA;NA;NA;,6.250000,0,0,0,0,0,0,0,0,0,0,0,1.818182,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,6.250000,5.555556,0.000000,11.764706,0.000000,0.000000,0.000000,0.000000,0.000000,7.692308,4.347826,0.000000,3.636364,0.000000,0.000000,0.000000,33.333336,0.000000
unclassified,18.750000,27.777779,12.500000,29.411766,14.285715,58.823532,0.000000,0.000000,33.333334,46.153846,52.173913,41.176471,52.727270,20.000000,25.000000,0.000000,0.000000,0.000000
Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;NA;,0,0,0,5.882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;NA;NA;NA;NA;,0,0,0,0,14.285715,0,0,0,0,0,4.347826,0,0,0,0,0,0,0
Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;,0,0,0,0,0,0,20.000000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,4.347826,0,0,0,0,0,0,0
