,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,12.500000,11.111112,6.250000,5.882353,0,5.882353,0,0,16.666668,0,0,11.764706,7.272727,10.000000,25.000000,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA;,6.250000,0,0,0,0,0,0,0,0,0,0,5.882353,3.636364,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,6.250000,11.111112,6.250000,5.882353,28.571430,5.882353,0,0,16.666668,7.692308,0,0,3.636364,20.000000,0,0,33.333336,50.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;,6.250000,5.555556,18.750000,11.764706,0,5.882353,0,0,16.666668,0,4.347826,0,0,10.000000,0,0,33.333336,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,6.250000,11.111112,0,5.882353,14.285715,11.764706,0,0,0,15.384616,13.043478,5.882353,7.272727,0,25.000000,0,0,0
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;NA;,6.250000,0,0,0,0,0,0,0,0,0,0,0,1.818182,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;NA;,6.250000,0,0,0,0,5.882353,0,0,0,7.692308,0,0,1.818182,10.000000,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Wenyingzhuangia;NA;,6.250000,5.555556,0,5.882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;Monoglobus;NA;,6.250000,0,0,0,0,0,0,0,0,0,0,0,3.636364,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) genus,18.750000,27.777779,37.500000,23.529411,28.571430,5.882353,80.000000,50.000000,16.666668,23.076923,21.739130,35.294117,12.727272,20.000000,25.000000,100.000000,33.333336,50.000000
unclassified,18.750000,27.777779,12.500000,29.411766,14.285715,58.823532,0.000000,0.000000,33.333334,46.153846,52.173913,41.176471,52.727270,20.000000,25.000000,0.000000,0.000000,0.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;,0,0,6.250000,5.882353,0,0,0,50.000000,0,0,0,0,3.636364,10.000000,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;NA;,0,0,6.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;,0,0,6.250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Corynesporascaceae;Corynespora;NA;,0,0,0,5.882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces;NA;,0,0,0,0,14.285715,0,0,0,0,0,4.347826,0,0,0,0,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;NA;,0,0,0,0,0,0,20.000000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;,0,0,0,0,0,0,0,0,0,0,4.347826,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;,0,0,0,0,0,0,0,0,0,0,0,0,1.818182,0,0,0,0,0
