	ta1	ta2	ta3	ta4	ta5	ta6	ta7	ta8	ta9
3982	Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*NA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides	3982
4018	Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Spirosoma*NA	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma	4018
4498	Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella*Prevotella sp. BCRC 81118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. BCRC 81118	4498
4791	Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium detergens	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium detergens	4791
5273	Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Psychroflexus*Psychroflexus salarius	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus salarius	5273
6325	Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Chromobacteriaceae*Chromobacterium*NA	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium	6325
7272	Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Magnetospira*Magnetospira sp. QH-2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira	Magnetospira sp. QH-2	7272
7453	Bacteria*Proteobacteria*Gammaproteobacteria*Nevskiales*Sinobacteraceae*Solimonas*Solimonas terrae	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas	Solimonas terrae	7453
7673	Bacteria*Proteobacteria*Gammaproteobacteria*Vibrionales*Vibrionaceae*Vibrio*Vibrio lentus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio lentus	7673
7696	Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Extensimonas*Extensimonas vulgaris	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Extensimonas	Extensimonas vulgaris	7696
7825	Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Xenophilus*Xenophilus sp. L33	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	Xenophilus sp. L33	7825
8648	Bacteria*Verrucomicrobia*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia*Akkermansia sp. KLE1797	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. KLE1797	8648
8661	Bacteria*Verrucomicrobia*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia*Akkermansia sp. BIOML-A41	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. BIOML-A41	8661
9870	Archaea*Euryarchaeota*Thermoplasmata*Methanomassiliicoccales*Candidatus Methanomethylophilaceae*Candidatus Methanomethylophilus*NA	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus	9870
10288	Bacteria*Lentisphaerae*NA*NA*NA*NA*Lentisphaerae bacterium GWF2_49_21	Bacteria	Lentisphaerae	NA	NA	NA	NA	Lentisphaerae bacterium GWF2_49_21	10288
10921	Bacteria*Candidatus Falkowbacteria*NA*NA*NA*NA*Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_11	Bacteria	Candidatus Falkowbacteria	NA	NA	NA	NA	Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_11	10921
11196	Bacteria*NA*NA*NA*NA*NA*bacterium D16-36	Bacteria	NA	NA	NA	NA	NA	bacterium D16-36	11196
11374	Bacteria*NA*NA*NA*NA*NA*candidate division TA06 bacterium B3_TA06	Bacteria	NA	NA	NA	NA	NA	candidate division TA06 bacterium B3_TA06	11374
