	ta1	ta2	ta3	ta4	ta5	ta6	ta7	ta8	ta9
8	Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*NA	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	Clostridiales	8
1006	Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*Butyrivibrio sp. WCE2006	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. WCE2006	1006
1187	Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. BL-380-WT-2B	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. BL-380-WT-2B	1187
1652	Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoanaerobaculum*Lachnoanaerobaculum orale	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum orale	1652
1768	Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. ND2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. ND2	1768
1779	Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AF35-5AC	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus sp. AF35-5AC	1779
1896	Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Dorea*Dorea sp. BIOML-A1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. BIOML-A1	1896
2069	Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Pelotomaculum*Pelotomaculum sp. PtaU1.Bin035	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Pelotomaculum	Pelotomaculum sp. PtaU1.Bin035	2069
3625	Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Virgibacillus*Virgibacillus sp. 7505	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus sp. 7505	3625
3750	Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus hwajinpoensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus hwajinpoensis	3750
3765	Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Thalassobacillus*Thalassobacillus cyri	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri	3765
