"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
440860	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
43369	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
1362	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
29281	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
50551	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
508	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
15345	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
995	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
510	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
106	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1492	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
52	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
120	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
615	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
1478	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
155	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
1818	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1134	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1528	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
289	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Chytridiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
509	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
34	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
314	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
367	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
15	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Apicomplexa"	"NA"	"NA"	"NA"	"NA"	"NA"
79	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
495	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
15	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
264	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Ciliophora"	"NA"	"NA"	"NA"	"NA"	"NA"
383	"Bacteria"	"Candidatus Marinimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
306	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
149	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
263	"Bacteria"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
251	"Eukaryota"	"Microsporidia"	"NA"	"NA"	"NA"	"NA"	"NA"
160	"Bacteria"	"Candidatus Peregrinibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Rhodophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
118	"Bacteria"	"Armatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"Eukaryota"	"Zoopagomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Euglenozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Bacillariophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
57	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
191	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
188	"Eukaryota"	"Perkinsozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
176	"Bacteria"	"Candidatus Tectomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
167	"Bacteria"	"Candidatus Aminicenantes"	"NA"	"NA"	"NA"	"NA"	"NA"
166	"Bacteria"	"Candidatus Magasanikbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
145	"Eukaryota"	"Fornicata"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
136	"Bacteria"	"Candidatus Dadabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
117	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
83	"Bacteria"	"Nitrospinae"	"NA"	"NA"	"NA"	"NA"	"NA"
102	"Eukaryota"	"Heterolobosea"	"NA"	"NA"	"NA"	"NA"	"NA"
96	"Bacteria"	"Candidatus Parcubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
96	"Archaea"	"Candidatus Woesearchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
18	"Bacteria"	"Thermodesulfobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
59	"Bacteria"	"Candidatus Fermentibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
33	"Bacteria"	"Rhodothermaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
89	"Eukaryota"	"Cryptomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
87	"Bacteria"	"Candidatus Falkowbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
86	"Bacteria"	"Candidatus Eisenbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
65	"Bacteria"	"Candidatus Riflebacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
81	"Eukaryota"	"Discosea"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"Candidatus Roizmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"Candidatus Nomurabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
71	"Archaea"	"Candidatus Bathyarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
70	"Bacteria"	"Candidatus Latescibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
66	"Bacteria"	"Candidatus Gottesmanbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
