"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
78614	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
1181962	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
18386	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1230	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1677	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
514	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
3088	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
2946	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
5236	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
239	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
83	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
1058	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
100	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
2523	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
250	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
2164	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2886	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2803	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2515	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
90	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
23	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
343	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
418	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
1110	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
575	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
42	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
60	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
189	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
811	"Eukaryota"	"Fornicata"	"NA"	"NA"	"NA"	"NA"	"NA"
