"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
124928	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
808662	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
8586	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2560	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
1118	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1150	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
44396	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2216	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
93	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
16963	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
46	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
2989	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
111	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
287	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
2964	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
827	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
3453	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
2367	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
376	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
1605	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Chytridiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
131	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
650	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
1026	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
87	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
30	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
138	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
609	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
41	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
928	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
584	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
841	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Apicomplexa"	"NA"	"NA"	"NA"	"NA"	"NA"
733	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
38	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
160	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
167	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
154	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
602	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
235	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
550	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
479	"Bacteria"	"Candidatus Nomurabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
473	"Eukaryota"	"Microsporidia"	"NA"	"NA"	"NA"	"NA"	"NA"
