"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
490477	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
34231	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
27762	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
5910	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
476	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
829	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
10744	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
8846	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
93	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1490	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
4479	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
94	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
52	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
1791	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
1700	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
163	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
2306	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
476	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
349	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
1149	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
129	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
223	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Chytridiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
54	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
439	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
7	"Eukaryota"	"Apicomplexa"	"NA"	"NA"	"NA"	"NA"	"NA"
347	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
16	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
562	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
27	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
90	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
323	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
208	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Eukaryota"	"Ciliophora"	"NA"	"NA"	"NA"	"NA"	"NA"
17	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
361	"Eukaryota"	"Microsporidia"	"NA"	"NA"	"NA"	"NA"	"NA"
321	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
14	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
54	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
64	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
29	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
234	"Bacteria"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Rhodophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Euglenozoa"	"NA"	"NA"	"NA"	"NA"	"NA"
198	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
161	"Bacteria"	"Candidatus Peregrinibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"Eukaryota"	"Bacillariophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
40	"Bacteria"	"Thermodesulfobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
117	"Bacteria"	"Armatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
150	"Bacteria"	"Candidatus Parcubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
136	"Bacteria"	"Candidatus Marinimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
135	"Bacteria"	"Candidatus Falkowbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
125	"Bacteria"	"Candidatus Atribacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
119	"Eukaryota"	"Fornicata"	"NA"	"NA"	"NA"	"NA"	"NA"
117	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
88	"Bacteria"	"Nitrospinae"	"NA"	"NA"	"NA"	"NA"	"NA"
111	"Eukaryota"	"Heterolobosea"	"NA"	"NA"	"NA"	"NA"	"NA"
