"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
64948	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
4873	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
419336	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
32697	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
133891	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
859	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1804	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
93	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
904	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
2195	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
2743	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
152	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
3861	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
616	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
105	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
1954	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1816	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
440	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
1005	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
946	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
84	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
36	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
988	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
100	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
430	"Bacteria"	"Armatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
350	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
18	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
37	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
385	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
41	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
417	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
69	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
397	"Bacteria"	"Candidatus Marinimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
217	"Bacteria"	"Candidatus Peregrinibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
4	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
364	"Bacteria"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
331	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
324	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
223	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
22	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
107	"Bacteria"	"Thermodesulfobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
268	"Bacteria"	"Candidatus Aminicenantes"	"NA"	"NA"	"NA"	"NA"	"NA"
