"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
33175	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"NA"
3141	"Bacteria"	"Verrucomicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
329907	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"NA"
17643	"Bacteria"	"Proteobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
663	"Bacteria"	"Actinobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
54877	"Bacteria"	"Candidatus Melainabacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1182	"Bacteria"	"Spirochaetes"	"NA"	"NA"	"NA"	"NA"	"NA"
125	"Bacteria"	"Fusobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
6783	"Eukaryota"	"Fornicata"	"NA"	"NA"	"NA"	"NA"	"NA"
4523	"Eukaryota"	"Preaxostyla"	"NA"	"NA"	"NA"	"NA"	"NA"
1621	"Bacteria"	"Chloroflexi"	"NA"	"NA"	"NA"	"NA"	"NA"
66	"Bacteria"	"Synergistetes"	"NA"	"NA"	"NA"	"NA"	"NA"
3733	"Bacteria"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
731	"Bacteria"	"Tenericutes"	"NA"	"NA"	"NA"	"NA"	"NA"
15	"Bacteria"	"Fibrobacteres"	"NA"	"NA"	"NA"	"NA"	"NA"
2179	"Bacteria"	"Cyanobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1375	"Bacteria"	"Planctomycetes"	"NA"	"NA"	"NA"	"NA"	"NA"
79	"Archaea"	"Euryarchaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
992	"Bacteria"	"Acidobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
57	"Eukaryota"	"Ascomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
54	"Bacteria"	"Chlamydiae"	"NA"	"NA"	"NA"	"NA"	"NA"
254	"Bacteria"	"Ignavibacteriae"	"NA"	"NA"	"NA"	"NA"	"NA"
402	"Bacteria"	"Lentisphaerae"	"NA"	"NA"	"NA"	"NA"	"NA"
495	"Bacteria"	"Nitrospirae"	"NA"	"NA"	"NA"	"NA"	"NA"
41	"Bacteria"	"Thermotogae"	"NA"	"NA"	"NA"	"NA"	"NA"
423	"Bacteria"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
18	"Eukaryota"	"Basidiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
20	"Eukaryota"	"Mucoromycota"	"NA"	"NA"	"NA"	"NA"	"NA"
404	"Bacteria"	"Candidatus Omnitrophica"	"NA"	"NA"	"NA"	"NA"	"NA"
11	"Eukaryota"	"Chlorophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
7	"Bacteria"	"Deinococcus-Thermus"	"NA"	"NA"	"NA"	"NA"	"NA"
3	"Eukaryota"	"Chytridiomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
78	"Bacteria"	"Chlorobi"	"NA"	"NA"	"NA"	"NA"	"NA"
222	"Bacteria"	"Calditrichaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
312	"Eukaryota"	"Parabasalia"	"NA"	"NA"	"NA"	"NA"	"NA"
21	"Bacteria"	"Balneolaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
142	"Bacteria"	"Gemmatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
180	"Bacteria"	"Armatimonadetes"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"Eukaryota"	"Apicomplexa"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Ciliophora"	"NA"	"NA"	"NA"	"NA"	"NA"
239	"Bacteria"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"NA"	"NA"
82	"Bacteria"	"Kiritimatiellaeota"	"NA"	"NA"	"NA"	"NA"	"NA"
172	"Bacteria"	"Candidatus Peregrinibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
31	"Eukaryota"	"Evosea"	"NA"	"NA"	"NA"	"NA"	"NA"
28	"Bacteria"	"Aquificae"	"NA"	"NA"	"NA"	"NA"	"NA"
174	"Bacteria"	"Candidatus Rokubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
164	"Bacteria"	"Candidatus Marinimicrobia"	"NA"	"NA"	"NA"	"NA"	"NA"
160	"Bacteria"	"candidate division Zixibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
158	"Eukaryota"	"Microsporidia"	"NA"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Rhodophyta"	"NA"	"NA"	"NA"	"NA"	"NA"
156	"Bacteria"	"Candidatus Parcubacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
19	"Bacteria"	"Candidatus Margulisbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
43	"Bacteria"	"Thermodesulfobacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
123	"Bacteria"	"Candidatus Falkowbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
108	"Bacteria"	"Candidatus Vogelbacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
106	"Bacteria"	"Candidatus Poribacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Zoopagomycota"	"NA"	"NA"	"NA"	"NA"	"NA"
99	"Bacteria"	"Candidatus Latescibacteria"	"NA"	"NA"	"NA"	"NA"	"NA"
