,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,8I-P0,8I-P1,8I-S0,8I-S2,8I-S3,8I-W3,8S-P0,8S-P1,8S-S0,8S-S3,8S-W2,8S-W3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.000000,26.666668,10.526316,25.000000,23.076923,14.285715,7.142858,27.777779,42.105263,18.181818,25.000000,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.000000,20.000000,26.315790,16.666668,30.769232,42.857143,7.142858,22.222223,16.666668,18.181818,50.000000,33.333336
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,7.692308,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,5.263158,8.333334,7.692308,0,9.090909,0,0,0,0,0
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.000002,13.333334,31.578945,8.333334,23.076923,28.571430,35.714287,27.777779,50.000000,18.181818,0.000000,100.000000
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.000000,6.666667,15.789473,16.666667,7.692308,0.000000,21.428572,0.000000,0.000000,18.181819,0.000000,0.000000
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,6.666667,0,0,0,14.285715,0,5.555556,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333334,5.263158,8.333334,0,16.666668,14.285715,5.555556,16.666668,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,5.263158,16.666668,0,33.333336,7.142858,11.111112,10.526316,18.181818,25.000000,33.333336
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,0,0,0,0,7.142858,0,0,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263158,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263158,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666668,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909,0,0
