RelTime,Delta,CO2
-0.85,-24.35,1.06
-0.55,-24.35,1.02
-0.233333333,-24.37,0.92
0,NA,NA
0.233333333,67.92,0.69
0.516666667,119.98,1.12
0.833333333,142.75,0.86
1.116666667,165.99,0.96
1.416666667,189.24,1.08
1.733333333,174.15,1.03
2.05,165.31,1.02
2.35,142.32,1.2
2.683333333,125.54,1.23
3.016666667,108.29,0.85
3.3,114.96,0.81
3.583333333,138.19,0.89
3.883333333,141.11,0.82
4.166666667,161.7,0.83
4.45,165.44,0.86
