RelTime,Delta,CO2
-1.4,-22.34,1
-1.083333333,-21.15,1.13
-0.783333333,-20.29,1.17
0,NA,NA
0.466666667,-22.51,0.64
0.733333333,-19.97,0.95
1.083333333,-19.07,0.91
1.416666667,-18.7,0.77
1.733333333,-20.93,0.53
2.183333333,-19.81,0.71
