RelTime,Delta,CO2
-0.683333333,-25.09,0.72
-0.4,-25.56,1.13
-0.1,-25.13,1
0,NA,NA
0.2,61.49,1.17
0.516666667,151.6,0.69
0.783333333,234.2,1.15
1.083333333,301.24,1.11
1.566666667,395.66,0.73
1.85,458.52,1.06
2.15,559.78,0.92
2.516666667,672.36,0.94
2.8,676.21,0.99
3.016666667,745.51,1.2
3.35,644.01,0.64
3.616666667,844.98,0.62
4.033333333,968.97,0.97
4.333333333,1066.75,0.92
4.616666667,1143.52,1.22
