RelTime,Delta,CO2
-0.85,-21.04,0.98
-0.533333333,-21.35,0.87
-0.25,-20.4,1.01
0,NA,NA
0.3,173.88,1.25
0.65,286.94,0.91
0.95,377.99,1.02
1.266666667,382.57,1.11
1.583333333,281.46,0.96
1.9,292.81,1.22
2.25,274.06,1.2
2.583333333,249.07,0.68
2.866666667,270.69,0.87
3.15,741.08,0.96
3.45,1130.98,0.73
3.733333333,1498.21,0.87
4.033333333,1473.75,0.9
4.316666667,1508.65,0.93
