RelTime,Delta,CO2
-1.25,-26.35,0.96
-0.95,-26.61,0.65
-0.683333333,-25.92,0.66
-0.416666667,-25.07,0.81
-0.133333333,-26.04,1.17
0,NA,NA
0.25,33.93,0.74
0.516666667,36.5,0.68
0.8,45.91,0.75
1.066666667,62.9,0.84
1.35,73.00,0.93
1.65,94.73,0.66
1.916666667,95.1,0.69
2.233333333,94.24,0.58
2.483333333,79.46,0.91
2.783333333,71.96,0.93
3.066666667,66.84,0.76
3.35,73.65,0.93
3.633333333,139.75,0.59
3.916666667,210.7,1.04
4.216666667,275.94,0.91
